account_id,account_name,industry,customer_type,contract_length_months,client_tenure_months,deal_value_usd,deal_status
A00074,"Stanley, Tucker and Lee",HealthTech,New,16,20,17019.74,Closed‑Won
A00075,Novak PLC,CyberSecurity,New,12,27,10897.57,Closed‑Won
A00076,"Daniels, Adkins and Brown",MarTech,New,10,20,15192.35,Negotiation
A00077,"Woods, Calhoun and Schmidt",EdTech,New,12,26,14898.6,Closed‑Lost
A00078,Yu Inc,HealthTech,Expansion,19,1,13261.29,Closed‑Won
A00079,Jones Inc,E‑Commerce,New,8,36,16066.75,Closed‑Won
A00080,"Hensley, Powell and David",CyberSecurity,Expansion,18,36,12160.47,Closed‑Won
A00081,"Sanchez, Wheeler and Harvey",SMB SaaS,New,31,19,19119.52,Closed‑Won
A00082,Sandoval-Cunningham,MarTech,New,29,16,14477.6,Closed‑Won
A00083,Donovan-Harris,HealthTech,New,25,45,21997.57,Closed‑Won
A00084,"Edwards, Baker and Anderson",Logistics,Expansion,32,12,14655.59,Closed‑Won
A00085,"Evans, Stewart and Walton",CyberSecurity,Expansion,29,3,13831.01,Closed‑Won
A00086,Smith PLC,CyberSecurity,New,25,3,14506.99,Closed‑Won
A00087,"Ferrell, Jones and Lewis",FinTech,Expansion,31,53,13062.79,Closed‑Won
A00088,Anderson-Bailey,EdTech,New,9,22,11026.93,Closed‑Won
A00089,Suarez LLC,Logistics,Expansion,30,7,6885.15,Closed‑Won
A00090,Moore-Bass,Logistics,New,14,52,9886.87,Closed‑Won
A00091,"Turner, Riggs and Roman",MarTech,New,27,9,17784.29,Closed‑Won
A00092,"Smith, Montoya and Evans",Logistics,Expansion,33,20,21252.67,On‑Hold
A00093,"Garcia, Humphrey and Baker",Logistics,New,20,2,18012.05,Closed‑Won
A00094,Newton and Sons,MarTech,New,8,41,14775.86,Closed‑Lost
A00095,Campbell-Clark,SMB SaaS,New,17,42,10714.9,Closed‑Won
A00096,Harris-Walters,EdTech,New,18,45,13641.66,Closed‑Won
A00097,Wagner-King,HealthTech,Expansion,34,16,20247.99,Closed‑Won
A00098,Davis Group,CyberSecurity,Expansion,34,20,12051.78,Closed‑Won
A00099,Williams-Cook,CyberSecurity,Expansion,23,56,12326.69,Negotiation
A00100,Walsh LLC,HealthTech,New,34,49,21682.73,Closed‑Won
A00101,Figueroa PLC,Logistics,New,19,3,8938.27,Closed‑Won
A00102,"Patterson, Smith and Jones",HealthTech,New,18,41,15217.85,Closed‑Won
A00103,"Mckee, Gardner and Davenport",Logistics,New,31,48,21437.58,Closed‑Won
A00104,"Tran, Jordan and Williams",FinTech,New,26,33,10650.1,Negotiation
A00105,Nolan-Flynn,Logistics,Expansion,21,38,13382.66,Closed‑Won
A00106,Nolan and Sons,Logistics,Expansion,19,1,14574.49,Closed‑Won
A00107,"Wright, Garcia and Deleon",Logistics,Expansion,27,2,16574.29,Closed‑Lost
A00108,Dickson-Brady,CyberSecurity,New,28,3,15780.95,Closed‑Won
A00109,Hancock and Sons,MarTech,New,20,10,15830.14,Closed‑Won
A00110,Johnson-Doyle,CyberSecurity,New,6,59,13969.17,Closed‑Won
A00111,Patton-Jenkins,EdTech,New,9,38,18444.43,Closed‑Won
A00112,"Shields, Cochran and Adams",Logistics,New,10,47,22243.55,Closed‑Won
A00113,"Rodriguez, Brennan and Garrison",E‑Commerce,New,19,18,18224.44,Closed‑Won
A00114,Gonzalez Group,MarTech,New,24,56,10207.12,Closed‑Won
A00115,Torres-Pope,E‑Commerce,Expansion,30,12,16168.07,Closed‑Lost
A00116,Walker Ltd,E‑Commerce,New,12,54,21683.73,Closed‑Won
A00117,Ross LLC,FinTech,Expansion,29,2,11706.15,Closed‑Won
A00118,Rasmussen LLC,HealthTech,New,25,2,14841.53,Closed‑Won
A00119,May-Ross,HealthTech,New,7,5,4757.18,Closed‑Won
A00120,"Rivera, Johnson and Wiley",FinTech,New,16,47,15075.37,Closed‑Won
A00121,White-Estes,MarTech,New,15,16,15237.42,Closed‑Won
A00122,Johnson-Carlson,CyberSecurity,New,32,27,12786.97,Negotiation
A00123,Chandler-Edwards,CyberSecurity,New,33,28,13100.0,Closed‑Won
A00124,"Joyce, Wilson and Lam",MarTech,Expansion,30,47,14311.01,Closed‑Lost
A00125,Scott Ltd,Logistics,New,21,21,17152.74,Negotiation
A00126,Smith-Frost,E‑Commerce,New,20,1,10480.28,Closed‑Won
A00127,"Mcdaniel, Bentley and Mclaughlin",FinTech,New,15,23,15319.25,Closed‑Won
A00128,Diaz Inc,Logistics,New,29,18,19626.04,Closed‑Won
A00129,"Mccall, Hanson and Alvarado",E‑Commerce,New,8,44,11430.79,Closed‑Won
A00130,Cortez LLC,CyberSecurity,New,14,45,16936.46,Negotiation
A00131,"Parker, Ortiz and Powell",E‑Commerce,Expansion,10,6,14473.59,Closed‑Won
A00132,Spencer-Lee,E‑Commerce,Expansion,20,47,17127.45,Closed‑Won
A00133,"Bentley, Byrd and Orr",FinTech,Expansion,14,5,9921.25,Closed‑Won
A00134,"Carroll, Sullivan and Bass",E‑Commerce,New,11,37,13349.77,Closed‑Won
A00135,Mitchell-Jordan,Logistics,New,17,23,16160.79,Closed‑Won
A00136,"Lawson, Morris and Ramos",EdTech,Expansion,31,18,8013.21,Closed‑Lost
A00137,"Lewis, Kennedy and Santana",E‑Commerce,New,22,29,14038.12,Closed‑Won
A00138,"Jackson, Miller and Robertson",FinTech,New,30,19,22518.13,Closed‑Won
A00139,"Harvey, Davis and Crane",EdTech,New,33,47,7371.46,Closed‑Won
A00140,Chambers and Sons,MarTech,Expansion,33,58,10261.31,Closed‑Won
A00141,Hernandez Inc,SMB SaaS,New,16,49,14459.46,Closed‑Won
A00142,Riggs PLC,HealthTech,Expansion,32,26,12772.45,Closed‑Won
A00143,Gibson Ltd,EdTech,Expansion,33,30,25890.23,Negotiation
A00144,"Lee, Horton and Snyder",MarTech,New,34,27,19731.69,Closed‑Won
A00145,Hernandez Ltd,SMB SaaS,Expansion,16,47,9324.98,Closed‑Won
A00146,Stafford Inc,Logistics,New,12,33,8753.01,Closed‑Won
A00147,Robinson-Brock,FinTech,New,23,28,14250.06,Closed‑Won
A00148,"Holmes, Williams and Wright",HealthTech,New,33,25,15199.6,Closed‑Won
A00149,Bryant Group,Logistics,Expansion,33,23,20576.2,Closed‑Won
A00150,"Schmidt, Hansen and Stewart",FinTech,New,23,33,9702.74,Closed‑Won
A00151,Salazar-Ball,Logistics,New,10,41,17933.04,Closed‑Won
A00152,"Simmons, Meadows and Griffin",EdTech,New,18,26,16535.17,Closed‑Won
A00153,Manning Group,SMB SaaS,New,27,48,16915.07,Closed‑Won
A00154,Green-Wright,EdTech,New,22,49,9555.15,On‑Hold
A00155,"Ramirez, Strickland and Washington",MarTech,New,16,26,15559.65,Negotiation
A00156,Hill Inc,CyberSecurity,New,16,54,10781.06,Closed‑Won
A00157,"Mitchell, Nelson and Flores",HealthTech,Expansion,7,11,26593.81,Closed‑Won
A00158,"Miller, Hernandez and Reyes",E‑Commerce,New,14,55,14643.43,Closed‑Won
A00159,Mccarthy Inc,E‑Commerce,Expansion,26,18,16116.82,Closed‑Won
A00160,Russell-Daniels,Logistics,New,13,34,12835.18,Negotiation
A00161,Brown-Wall,SMB SaaS,New,35,17,13581.03,Closed‑Won
A00162,Stein-Silva,CyberSecurity,New,8,27,14476.59,Closed‑Won
A00163,"Smith, Gilmore and Johnston",MarTech,New,23,21,16382.83,Closed‑Won
A00164,Smith-Bell,MarTech,Expansion,20,42,18353.97,Closed‑Won
A00165,Castaneda-Ashley,MarTech,New,30,5,19930.13,Closed‑Won
A00166,Medina-Navarro,Logistics,New,32,50,14833.58,Closed‑Won
A00167,"Hurst, Freeman and Nelson",EdTech,New,22,54,13342.16,Closed‑Lost
A00168,Johnson-Rogers,HealthTech,Expansion,24,34,15465.16,Closed‑Lost
A00169,"Yates, Ramsey and Pittman",EdTech,New,26,33,17276.34,Negotiation
A00170,Hooper PLC,FinTech,New,21,42,12620.91,Closed‑Won
A00171,Meadows PLC,FinTech,Expansion,11,12,8869.55,Closed‑Won
A00172,"Alvarado, Miller and Patterson",FinTech,Expansion,18,45,12524.53,Closed‑Won
A00173,White-Green,Logistics,Expansion,13,13,20455.58,Closed‑Won
A00174,Lewis-Murphy,CyberSecurity,New,19,40,14667.15,Closed‑Won
A00175,Ramirez-Bean,CyberSecurity,New,24,19,14565.88,Closed‑Won
A00176,King-Miller,MarTech,New,12,45,12279.59,Closed‑Lost
A00177,Curry Inc,CyberSecurity,Expansion,13,47,16692.12,Closed‑Won
A00178,Walker-Jones,HealthTech,New,30,13,10395.17,Closed‑Won
A00179,"Williams, Johnson and Wright",SMB SaaS,Expansion,17,37,10600.73,Closed‑Won
A00180,Howell and Sons,E‑Commerce,New,11,30,13967.46,Closed‑Won
A00181,Wells Inc,SMB SaaS,New,27,18,14335.33,Negotiation
A00182,"Gould, Marshall and Scott",HealthTech,Expansion,27,35,14242.17,Closed‑Won
A00183,Jackson-Lawson,MarTech,New,30,59,19711.51,Closed‑Won
A00184,"Higgins, Strickland and Martin",CyberSecurity,Expansion,28,1,14145.53,Closed‑Won
A00185,Rodriguez-Johnson,MarTech,New,35,57,12266.62,Negotiation
A00186,Johnston-Odonnell,MarTech,New,23,51,12977.55,Closed‑Won
A00187,Sanders-Espinoza,HealthTech,New,14,32,22559.55,Closed‑Won
A00188,Vargas Ltd,MarTech,New,31,36,16795.68,Closed‑Won
A00189,Garcia LLC,HealthTech,New,13,22,11944.89,Closed‑Won
A00190,"Burke, Martinez and Riggs",EdTech,New,14,8,18856.82,Closed‑Won
A00191,Reed Group,CyberSecurity,New,30,34,15440.14,Closed‑Won
A00192,"Wood, Hunter and Peterson",CyberSecurity,New,32,49,18399.37,Closed‑Won
A00193,Short-Garcia,E‑Commerce,New,16,14,19731.22,Negotiation
A00194,Reid-Poole,EdTech,New,27,43,12088.41,Negotiation
A00195,"Hernandez, Thompson and Boyd",SMB SaaS,New,33,45,7167.21,Closed‑Won
A00196,"Nelson, Morton and Medina",FinTech,New,29,45,5733.51,Negotiation
A00197,Marshall-Petersen,EdTech,New,6,21,14054.84,Closed‑Won
A00198,"Adams, Christian and Rivas",FinTech,Expansion,25,24,14604.5,Closed‑Won
A00199,Ramirez Group,EdTech,Expansion,11,25,15600.38,Closed‑Won
A00200,Christensen PLC,SMB SaaS,New,31,51,18505.1,Closed‑Lost
A00201,"Barnett, Rogers and Snyder",EdTech,New,8,54,23270.26,Closed‑Won
A00202,White-Lewis,SMB SaaS,New,35,25,17220.06,Closed‑Won
A00203,Peterson-Beard,MarTech,New,11,58,8878.39,Closed‑Won
A00204,"Beard, Peters and Black",CyberSecurity,New,18,34,18213.59,Closed‑Won
A00205,Miller Ltd,MarTech,New,13,23,15366.89,Closed‑Won
A00206,Freeman-Chang,EdTech,New,30,1,19056.73,Negotiation
A00207,"Alvarez, Joseph and West",Logistics,Expansion,17,37,20381.69,Negotiation
A00208,Davis and Sons,SMB SaaS,New,28,39,12700.84,Closed‑Lost
A00209,Holt-Torres,EdTech,New,8,58,12067.44,Closed‑Won
A00210,"Wood, Tran and Cooper",Logistics,Expansion,19,43,18747.18,Negotiation
A00211,"Pierce, Bell and Chavez",EdTech,Expansion,33,2,17082.26,Closed‑Won
A00212,King-Martinez,CyberSecurity,New,33,34,12425.23,Closed‑Won
A00213,Stewart Ltd,Logistics,New,12,44,13827.53,Closed‑Won
A00214,"Tapia, Vaughn and Lee",MarTech,New,17,30,11590.14,Closed‑Won
A00215,"Washington, Hardy and Bray",CyberSecurity,New,18,26,18460.55,Closed‑Won
A00216,"Carlson, Hooper and Wall",EdTech,Expansion,22,48,13980.38,On‑Hold
A00217,Perez-White,FinTech,New,22,37,20980.43,Negotiation
A00218,Erickson and Sons,FinTech,New,9,41,19105.34,On‑Hold
A00219,Williams-Brown,MarTech,New,28,28,17433.32,Closed‑Won
A00220,Terry-Martinez,SMB SaaS,New,12,17,5135.7,Closed‑Won
A00221,Garcia-Smith,HealthTech,Expansion,15,31,14864.47,Closed‑Won
A00222,Harrison-Alexander,MarTech,New,31,57,9642.78,Closed‑Won
A00223,Sheppard LLC,CyberSecurity,New,26,36,18924.25,Closed‑Won
A00224,Wilson-Jones,HealthTech,Expansion,17,42,17578.34,On‑Hold
A00225,Jones-Soto,CyberSecurity,Expansion,33,8,8543.6,Closed‑Won
A00226,Hernandez PLC,EdTech,New,17,59,16526.63,Closed‑Won
A00227,Miller-Wright,Logistics,New,22,15,14806.19,Closed‑Won
A00228,"Duran, Obrien and Gibbs",E‑Commerce,New,13,58,15421.77,Closed‑Won
A00229,Rowe Group,E‑Commerce,New,11,27,19810.54,Closed‑Won
A00230,Kerr-Evans,HealthTech,New,20,55,12183.96,Closed‑Won
A00231,"Branch, Torres and Oliver",MarTech,New,22,53,17114.67,Closed‑Lost
A00232,"Choi, Garcia and Farmer",Logistics,Expansion,30,45,14745.43,Closed‑Won
A00233,"Clark, Guerrero and Moore",FinTech,Expansion,17,55,13440.21,Closed‑Won
A00234,Arnold and Sons,Logistics,Expansion,32,36,10249.77,Closed‑Won
A00235,Ortiz Ltd,MarTech,Expansion,24,51,12917.18,Closed‑Won
A00236,"Harrison, Johnson and Roberts",CyberSecurity,Expansion,8,11,17051.16,Closed‑Won
A00237,Warner-Gibson,CyberSecurity,Expansion,28,5,17559.34,Closed‑Won
A00238,"Hall, Baker and Moody",MarTech,Expansion,23,33,12818.04,Closed‑Won
A00239,"Guerrero, Peck and Coleman",EdTech,New,17,48,25674.49,Closed‑Won
A00240,"Walker, Hernandez and Baker",CyberSecurity,New,20,46,20324.75,Closed‑Won
A00241,Jones and Sons,HealthTech,New,15,32,9991.9,Closed‑Won
A00242,Larson-Holloway,E‑Commerce,New,24,31,16110.02,Closed‑Won
A00243,Gonzales-Harrison,FinTech,New,23,36,8441.98,Closed‑Won
A00244,Lyons-Bender,CyberSecurity,New,19,52,16763.82,Closed‑Lost
A00245,"Fernandez, Kim and George",CyberSecurity,New,14,50,19331.74,Closed‑Won
A00246,Navarro-Munoz,FinTech,New,17,7,12654.48,Closed‑Lost
A00247,Davis Ltd,Logistics,New,20,36,15389.86,Closed‑Won
A00248,"Matthews, Smith and Hubbard",MarTech,Expansion,20,23,14427.85,Closed‑Won
A00249,Johnston-Hines,Logistics,Expansion,15,48,14021.15,Closed‑Won
A00250,Ruiz Ltd,FinTech,New,23,30,11269.49,Closed‑Won
A00251,Moon-White,HealthTech,New,12,59,14493.12,Closed‑Won
A00252,"Graham, Olsen and Costa",MarTech,New,21,26,19605.47,Closed‑Won
A00253,Bailey-Cook,HealthTech,Expansion,9,41,16748.07,Closed‑Won
A00254,"Garcia, Martin and Jenkins",EdTech,Expansion,20,7,17093.51,Closed‑Won
A00255,Roberts-Landry,CyberSecurity,New,29,56,12785.79,Closed‑Won
A00256,"Johnson, Miller and King",HealthTech,Expansion,30,10,19758.9,Closed‑Won
A00257,Cordova Group,CyberSecurity,New,26,23,16977.06,Closed‑Won
A00258,"Bryan, Smith and Booth",FinTech,New,28,50,14899.41,Closed‑Won
A00259,Gutierrez-Lopez,HealthTech,Expansion,7,58,18843.92,Negotiation
A00260,Dean-Jimenez,E‑Commerce,New,16,29,12389.23,Closed‑Won
A00261,Wolf-Harris,Logistics,New,25,29,18150.41,Closed‑Lost
A00262,"Anderson, Roberts and Gilmore",HealthTech,New,30,3,13490.85,Closed‑Won
A00263,Martinez-Dudley,EdTech,New,23,58,11571.24,Closed‑Won
A00264,"Lloyd, Mckinney and Collins",SMB SaaS,Expansion,31,1,16289.33,Closed‑Won
A00265,Tran Inc,SMB SaaS,Expansion,14,2,25021.9,Closed‑Won
A00266,Gay Inc,E‑Commerce,New,10,28,10386.24,Closed‑Won
A00267,Valentine-Holland,MarTech,New,8,1,15944.44,Closed‑Won
A00268,Jimenez Ltd,EdTech,Expansion,23,10,18192.05,Closed‑Won
A00269,Hicks-Hill,E‑Commerce,New,25,38,10680.07,Negotiation
A00270,Baird-Sanchez,E‑Commerce,Expansion,14,42,13771.67,Closed‑Won
A00271,"Thomas, Lee and Greene",EdTech,New,29,18,15409.31,Closed‑Won
A00272,"Suarez, Shields and Hill",FinTech,New,28,47,14255.6,Closed‑Won
A00273,Morgan-French,HealthTech,Expansion,16,36,15542.67,Closed‑Lost
A00274,Hoover-Campbell,SMB SaaS,New,13,14,22739.39,Closed‑Won
A00275,Monroe-Carpenter,MarTech,New,28,43,15983.45,Closed‑Won
A00276,"Burns, Hernandez and Ryan",MarTech,New,26,35,19010.3,Closed‑Won
A00277,Cook-Hines,MarTech,New,11,48,8659.44,Closed‑Won
A00278,Gibson-Morris,Logistics,New,13,10,14440.53,Closed‑Won
A00279,Pollard and Sons,FinTech,New,20,14,15925.5,Closed‑Won
A00280,"Reyes, Chase and Jenkins",FinTech,Expansion,21,18,17967.72,Closed‑Won
A00281,Garner-Thornton,EdTech,Expansion,10,21,8161.77,Closed‑Won
A00282,Hughes-Alvarado,MarTech,New,34,53,14739.91,Closed‑Won
A00283,"Pollard, Simpson and Johnson",CyberSecurity,New,17,44,7745.8,Closed‑Won
A00284,"Sanford, Rivera and Garcia",MarTech,Expansion,17,33,11368.52,Closed‑Won
A00285,Garcia-Lozano,MarTech,Expansion,7,32,18015.47,Closed‑Won
A00286,Bowen Group,SMB SaaS,New,32,53,16283.13,Closed‑Lost
A00287,"Booker, Jones and Harrington",HealthTech,New,13,27,21136.92,Negotiation
A00288,Morgan-Schwartz,E‑Commerce,New,35,14,17345.31,Closed‑Won
A00289,"Miller, Murphy and Craig",E‑Commerce,New,20,9,9582.53,Closed‑Won
A00290,"James, Stewart and Higgins",MarTech,New,32,20,11763.62,Closed‑Won
A00291,Brennan-Johnson,Logistics,New,11,39,16033.98,Closed‑Lost
A00292,Young Ltd,EdTech,Expansion,10,28,12729.15,Closed‑Won
A00293,Bright-Francis,SMB SaaS,Expansion,30,25,17874.53,Negotiation
A00294,Good-Hodges,EdTech,Expansion,30,29,14771.38,Closed‑Won
A00295,"Brennan, Wallace and Benson",E‑Commerce,New,22,58,22583.42,Closed‑Won
A00296,Williams Inc,E‑Commerce,New,6,59,4019.54,Closed‑Won
A00297,Howard-Jordan,Logistics,Expansion,34,10,21368.26,Closed‑Won
A00298,Schmidt PLC,MarTech,Expansion,17,7,9056.09,Negotiation
A00299,"Sparks, Jackson and Miller",EdTech,New,34,15,12557.63,Closed‑Won
A00300,Harvey-Allen,FinTech,Expansion,32,51,13736.73,Closed‑Won
A00301,"Thomas, Murray and King",EdTech,New,31,28,7332.3,Negotiation
A00302,Estrada-Nolan,Logistics,Expansion,26,51,17987.55,Closed‑Won
A00303,Santana-Byrd,FinTech,New,26,39,15847.32,Closed‑Won
A00304,Jones LLC,SMB SaaS,New,21,33,13240.94,Closed‑Won
A00305,"Evans, Hayden and Vaughn",E‑Commerce,New,6,17,20624.52,Closed‑Won
A00306,Bruce-Gonzalez,HealthTech,New,17,21,9238.58,Closed‑Won
A00307,Castaneda-Rodriguez,EdTech,New,27,9,13879.45,Closed‑Won
A00308,Armstrong-Andrews,E‑Commerce,New,30,31,20157.27,Closed‑Won
A00309,"Phillips, Spence and Barrett",EdTech,New,22,17,14292.06,Closed‑Won
A00310,Smith-Grimes,FinTech,Expansion,27,18,13496.95,Closed‑Lost
A00311,"Beltran, Lozano and Mcgee",CyberSecurity,New,6,3,16944.73,Closed‑Won
A00312,Parsons-Hall,CyberSecurity,New,20,48,12997.75,Closed‑Won
A00313,Robinson-Lee,FinTech,Expansion,21,56,24131.74,On‑Hold
A00314,Byrd-Le,EdTech,New,32,30,13973.99,Closed‑Lost
A00315,"Becker, Taylor and Davis",HealthTech,New,15,32,11196.01,Closed‑Won
A00316,"Lucas, Parker and Alexander",CyberSecurity,Expansion,12,55,16803.27,Closed‑Won
A00317,"Diaz, Anderson and Browning",CyberSecurity,Expansion,16,31,17861.25,Closed‑Won
A00318,Burgess-Thompson,CyberSecurity,New,11,37,13873.58,Closed‑Won
A00319,Buchanan LLC,SMB SaaS,Expansion,22,26,17800.32,Closed‑Won
A00320,"Shaw, Nelson and Martin",Logistics,New,25,31,13696.79,Closed‑Won
A00321,Coffey-Phillips,EdTech,New,30,31,13418.43,Negotiation
A00322,Brock-Mcdonald,FinTech,Expansion,35,42,22816.2,Closed‑Won
A00323,Taylor and Sons,E‑Commerce,New,8,36,13455.12,Closed‑Won
A00324,"Ramsey, Whitney and Coffey",SMB SaaS,Expansion,13,30,13115.95,Closed‑Won
A00325,"Diaz, Gibbs and Smith",SMB SaaS,New,15,5,22438.67,Closed‑Won
A00326,"Martinez, Richardson and Curry",HealthTech,Expansion,13,54,19860.46,Closed‑Won
A00327,Richards-Carson,HealthTech,New,30,53,13564.06,Closed‑Won
A00328,Rodriguez-Hall,FinTech,New,10,11,19915.76,Closed‑Won
A00329,Harvey PLC,HealthTech,New,6,18,16337.68,Closed‑Won
A00330,Herman-Walker,E‑Commerce,New,31,58,14628.13,Closed‑Won
A00331,Reid Group,E‑Commerce,Expansion,34,19,14430.49,Closed‑Won
A00332,"Turner, Ortiz and Taylor",EdTech,New,12,48,14580.38,Closed‑Won
A00333,Torres Group,EdTech,New,15,47,21338.5,Negotiation
A00334,Davis PLC,Logistics,New,21,51,16262.3,Closed‑Won
A00335,Price LLC,MarTech,New,21,1,9900.27,Negotiation
A00336,"Avery, Horton and Fernandez",Logistics,Expansion,35,29,9649.98,Closed‑Won
A00337,"Newton, Moore and Perry",SMB SaaS,New,18,34,9735.62,Closed‑Won
A00338,Bass PLC,EdTech,Expansion,6,50,17849.75,Closed‑Won
A00339,Crosby-Ramirez,HealthTech,New,18,14,16605.81,Negotiation
A00340,"Wood, Ramos and Sampson",SMB SaaS,New,22,19,17305.11,Closed‑Won
