account_id,date,feature_purchased,sessions_last_30d,last_login_days,support_tickets_30d
A00201,2025-01-31,API,5,14,0
A00202,2025-01-31,Core,8,8,0
A00203,2025-01-31,Premium Support,5,6,1
A00204,2025-01-31,Core,10,4,0
A00205,2025-01-31,Automation,4,18,0
A00206,2025-01-31,Automation,7,29,0
A00207,2025-01-31,API,17,17,0
A00208,2025-01-31,Core,8,29,1
A00209,2025-01-31,API,11,23,0
A00210,2025-01-31,Premium Support,13,21,0
A00211,2025-01-31,Analytics,7,22,0
A00212,2025-01-31,Automation,10,28,0
A00213,2025-01-31,Premium Support,11,26,0
A00214,2025-01-31,Premium Support,1,5,0
A00215,2025-01-31,API,15,18,0
A00216,2025-01-31,Analytics,2,14,1
A00217,2025-01-31,Automation,3,27,0
A00218,2025-01-31,API,5,6,0
A00219,2025-01-31,Automation,11,25,0
A00220,2025-01-31,Automation,5,14,0
A00221,2025-01-31,Automation,10,28,0
A00222,2025-01-31,Analytics,7,24,0
A00223,2025-01-31,Automation,5,10,1
A00224,2025-01-31,API,9,26,0
A00225,2025-01-31,Premium Support,11,5,1
A00226,2025-01-31,Automation,11,0,1
A00227,2025-01-31,Premium Support,4,15,0
A00228,2025-01-31,Premium Support,4,12,0
A00229,2025-01-31,Premium Support,12,3,0
A00230,2025-01-31,Automation,7,30,0
A00231,2025-01-31,API,9,1,0
A00232,2025-01-31,Core,9,18,2
A00233,2025-01-31,Analytics,14,8,0
A00234,2025-01-31,API,7,9,0
A00235,2025-01-31,Automation,5,6,0
A00236,2025-01-31,API,8,12,0
A00237,2025-01-31,API,7,20,1
A00238,2025-01-31,Core,9,9,0
A00239,2025-01-31,Automation,7,22,0
A00240,2025-01-31,API,9,13,0
A00241,2025-01-31,Core,5,24,0
A00242,2025-01-31,Analytics,6,13,0
A00243,2025-01-31,Premium Support,13,11,0
A00244,2025-01-31,Core,11,15,0
A00245,2025-01-31,API,5,21,0
A00246,2025-01-31,API,7,14,0
A00247,2025-01-31,Core,9,28,1
A00248,2025-01-31,Core,9,15,0
A00249,2025-01-31,Premium Support,12,9,1
A00250,2025-01-31,API,7,0,0
A00251,2025-01-31,Analytics,6,12,1
A00252,2025-01-31,Core,10,1,1
A00253,2025-01-31,API,10,1,0
A00254,2025-01-31,Automation,6,11,0
A00255,2025-01-31,Automation,8,9,0
A00256,2025-01-31,Core,10,27,0
A00257,2025-01-31,Automation,9,22,0
A00258,2025-01-31,Premium Support,6,24,0
A00259,2025-01-31,Analytics,3,16,0
A00260,2025-01-31,Core,11,3,0
A00261,2025-01-31,Premium Support,7,26,0
A00262,2025-01-31,API,7,15,0
A00263,2025-01-31,Automation,7,13,0
A00264,2025-01-31,Analytics,6,18,1
A00265,2025-01-31,Analytics,8,5,0
A00266,2025-01-31,Analytics,7,14,2
A00267,2025-01-31,Analytics,10,18,0
A00268,2025-01-31,API,4,21,1
A00269,2025-01-31,Core,9,15,0
A00270,2025-01-31,Premium Support,9,30,0
A00271,2025-01-31,API,5,30,0
A00272,2025-01-31,Premium Support,8,2,1
A00273,2025-01-31,API,12,2,0
A00274,2025-01-31,Analytics,4,15,0
A00275,2025-01-31,API,7,25,0
A00276,2025-01-31,Core,4,15,1
A00277,2025-01-31,Premium Support,11,6,0
A00278,2025-01-31,Automation,3,17,1
A00279,2025-01-31,Core,12,29,0
A00280,2025-01-31,API,9,5,0
A00281,2025-01-31,API,4,13,0
A00282,2025-01-31,Analytics,4,19,0
A00283,2025-01-31,Core,13,12,1
A00284,2025-01-31,Automation,15,1,0
A00285,2025-01-31,Analytics,10,20,1
A00286,2025-01-31,API,7,22,0
A00287,2025-01-31,Analytics,3,20,0
A00288,2025-01-31,Automation,9,20,1
A00289,2025-01-31,Core,7,20,0
A00290,2025-01-31,Analytics,10,10,0
A00291,2025-01-31,API,11,0,0
A00292,2025-01-31,API,12,30,0
A00293,2025-01-31,Automation,4,6,1
A00294,2025-01-31,Core,8,25,1
A00295,2025-01-31,API,9,16,0
A00296,2025-01-31,Automation,7,16,0
A00297,2025-01-31,Analytics,5,0,0
A00298,2025-01-31,Core,9,30,0
A00299,2025-01-31,Premium Support,10,16,0
A00300,2025-01-31,Automation,8,25,0
A00301,2025-01-31,Automation,7,24,0
A00302,2025-01-31,Automation,6,4,0
A00303,2025-01-31,Automation,10,29,0
A00304,2025-01-31,Automation,12,18,0
A00305,2025-01-31,API,9,5,0
A00306,2025-01-31,Core,6,18,0
A00307,2025-01-31,API,11,19,1
A00308,2025-01-31,Analytics,9,20,0
A00309,2025-01-31,Automation,8,9,0
A00310,2025-01-31,API,9,29,0
A00311,2025-01-31,Premium Support,7,7,0
A00312,2025-01-31,API,5,15,1
A00313,2025-01-31,API,3,25,1
A00314,2025-01-31,Premium Support,8,2,2
A00315,2025-01-31,API,5,12,1
A00316,2025-01-31,Analytics,9,14,0
A00317,2025-01-31,Analytics,13,23,0
A00318,2025-01-31,Premium Support,13,24,1
A00319,2025-01-31,Automation,3,24,0
A00320,2025-01-31,Core,6,11,0
A00321,2025-01-31,API,8,15,0
A00322,2025-01-31,Analytics,11,0,0
A00323,2025-01-31,Automation,6,25,0
A00324,2025-01-31,Core,6,9,0
A00325,2025-01-31,Automation,13,14,0
A00326,2025-01-31,Automation,10,21,1
A00327,2025-01-31,Analytics,7,24,0
A00328,2025-01-31,Core,9,2,0
A00329,2025-01-31,Automation,9,23,0
A00330,2025-01-31,Analytics,9,11,0
A00331,2025-01-31,Premium Support,9,12,1
A00332,2025-01-31,Automation,16,4,1
A00333,2025-01-31,Premium Support,8,22,1
A00334,2025-01-31,API,5,14,0
A00335,2025-01-31,Premium Support,7,3,1
A00336,2025-01-31,Core,6,4,0
A00337,2025-01-31,Analytics,6,22,0
A00338,2025-01-31,Core,6,3,0
A00339,2025-01-31,Automation,10,16,0
A00340,2025-01-31,API,10,21,1
A00341,2025-01-31,Analytics,9,28,0
A00342,2025-01-31,Analytics,8,4,1
A00343,2025-01-31,Automation,10,9,0
A00344,2025-01-31,Core,7,4,2
A00345,2025-01-31,API,11,27,0
A00346,2025-01-31,Automation,6,18,0
A00347,2025-01-31,Analytics,12,30,1
A00348,2025-01-31,Analytics,5,1,0
A00349,2025-01-31,Analytics,11,21,1
A00350,2025-01-31,API,10,1,0
A00351,2025-01-31,Analytics,8,3,0
A00352,2025-01-31,Analytics,10,13,0
A00353,2025-01-31,API,4,11,1
A00354,2025-01-31,Core,9,11,0
A00355,2025-01-31,API,12,2,0
A00356,2025-01-31,Core,9,16,1
A00357,2025-01-31,Core,8,10,1
A00358,2025-01-31,Analytics,4,30,1
A00359,2025-01-31,Analytics,9,24,0
A00360,2025-01-31,Core,6,13,1
A00361,2025-01-31,Premium Support,6,23,1
A00362,2025-01-31,Analytics,9,17,0
A00363,2025-01-31,Premium Support,8,15,2
A00364,2025-01-31,Premium Support,6,28,0
A00365,2025-01-31,Premium Support,8,18,1
A00366,2025-01-31,Premium Support,8,14,1
A00367,2025-01-31,Core,8,17,0
A00368,2025-01-31,Analytics,8,24,1
A00369,2025-01-31,Automation,9,22,0
A00370,2025-01-31,API,15,17,0
A00371,2025-01-31,Core,8,5,1
A00372,2025-01-31,API,10,19,1
A00373,2025-01-31,Premium Support,10,13,0
A00374,2025-01-31,Premium Support,6,28,0
A00375,2025-01-31,Analytics,6,28,0
A00376,2025-01-31,Analytics,16,0,0
A00377,2025-01-31,Analytics,5,30,0
A00378,2025-01-31,Analytics,8,27,0
A00379,2025-01-31,Analytics,11,28,1
A00380,2025-01-31,Analytics,5,15,0
A00381,2025-01-31,API,11,8,0
A00382,2025-01-31,Core,10,18,0
A00383,2025-01-31,Analytics,6,27,1
A00384,2025-01-31,Analytics,5,13,1
A00385,2025-01-31,Core,13,30,0
A00386,2025-01-31,Premium Support,9,8,2
A00387,2025-01-31,Automation,11,26,0
A00388,2025-01-31,Premium Support,5,2,2
A00389,2025-01-31,API,7,26,0
A00390,2025-01-31,Core,9,29,1
A00391,2025-01-31,Premium Support,8,21,0
A00392,2025-01-31,API,7,19,0
A00393,2025-01-31,Automation,7,12,0
A00394,2025-01-31,Analytics,6,27,0
A00395,2025-01-31,API,5,3,1
A00396,2025-01-31,API,7,9,0
A00397,2025-01-31,Analytics,8,4,1
A00398,2025-01-31,API,9,8,0
A00399,2025-01-31,Automation,7,16,0
A00400,2025-01-31,Core,11,10,0
A00401,2025-01-31,Core,5,13,1
A00402,2025-01-31,Premium Support,5,7,1
A00403,2025-01-31,API,6,10,0
A00404,2025-01-31,Premium Support,2,15,1
A00405,2025-01-31,Automation,5,6,1
A00406,2025-01-31,Automation,2,29,1
A00407,2025-01-31,Premium Support,10,27,0
A00408,2025-01-31,Automation,8,27,0
A00409,2025-01-31,Analytics,6,0,0
A00410,2025-01-31,API,11,15,0
A00411,2025-01-31,Analytics,5,24,0
A00412,2025-01-31,Analytics,9,10,0
A00413,2025-01-31,Automation,10,7,0
A00414,2025-01-31,Core,13,18,0
A00415,2025-01-31,Automation,5,0,0
A00416,2025-01-31,API,16,18,0
A00417,2025-01-31,Analytics,11,13,1
A00418,2025-01-31,Core,7,21,0
A00419,2025-01-31,Automation,10,21,0
A00420,2025-01-31,Premium Support,8,16,0
A00421,2025-01-31,Automation,6,18,0
A00422,2025-01-31,API,6,0,1
A00423,2025-01-31,Automation,8,30,1
A00424,2025-01-31,API,5,2,1
A00425,2025-01-31,Analytics,8,30,0
A00426,2025-01-31,Analytics,9,30,0
A00427,2025-01-31,Analytics,8,22,1
A00428,2025-01-31,Premium Support,6,23,0
A00429,2025-01-31,Automation,11,0,0
A00430,2025-01-31,Core,4,29,0
A00431,2025-01-31,Premium Support,7,16,1
A00432,2025-01-31,Core,8,10,0
A00433,2025-01-31,API,8,20,0
A00434,2025-01-31,Core,7,16,0
A00435,2025-01-31,Analytics,10,11,2
A00436,2025-01-31,Automation,5,9,0
A00437,2025-01-31,Premium Support,10,3,1
A00438,2025-01-31,Premium Support,4,28,1
A00439,2025-01-31,Premium Support,10,20,0
A00440,2025-01-31,Analytics,9,8,0
A00441,2025-01-31,Core,9,22,0
A00442,2025-01-31,Premium Support,5,21,1
A00443,2025-01-31,Premium Support,12,4,0
A00444,2025-01-31,Analytics,11,5,0
A00445,2025-01-31,Core,7,7,2
A00446,2025-01-31,Automation,5,3,1
A00447,2025-01-31,Core,7,25,1
A00448,2025-01-31,Core,9,4,0
A00449,2025-01-31,Premium Support,12,25,0
A00450,2025-01-31,API,12,16,0
A00451,2025-01-31,Core,5,3,1
A00452,2025-01-31,Automation,9,26,0
A00453,2025-01-31,Analytics,7,5,1
A00454,2025-01-31,API,10,30,0
A00455,2025-01-31,Premium Support,6,0,1
A00456,2025-01-31,Analytics,8,19,0
A00457,2025-01-31,Automation,12,9,1
A00458,2025-01-31,Premium Support,7,16,1
A00459,2025-01-31,API,7,26,0
A00460,2025-01-31,Premium Support,5,24,2
A00461,2025-01-31,API,9,8,2
A00462,2025-01-31,API,10,1,0
A00463,2025-01-31,Premium Support,7,8,0
A00464,2025-01-31,Automation,11,25,1
A00465,2025-01-31,Premium Support,10,15,0
A00466,2025-01-31,Automation,10,23,0
A00467,2025-01-31,Automation,10,15,0
A00468,2025-01-31,Analytics,5,16,0
A00469,2025-01-31,Analytics,7,2,0
A00470,2025-01-31,Premium Support,7,0,0
A00471,2025-01-31,Automation,8,21,0
A00472,2025-01-31,Analytics,7,6,0
A00473,2025-01-31,Analytics,5,11,0
A00474,2025-01-31,Automation,7,11,1
A00475,2025-01-31,Core,7,19,0
A00476,2025-01-31,Core,10,29,0
A00477,2025-01-31,Automation,13,23,0
A00478,2025-01-31,Analytics,7,19,0
A00479,2025-01-31,Automation,7,25,1
A00480,2025-01-31,API,15,15,0
A00481,2025-01-31,Premium Support,9,4,2
A00482,2025-01-31,API,6,15,0
A00483,2025-01-31,Premium Support,11,30,0
A00484,2025-01-31,Premium Support,10,24,0
A00485,2025-01-31,Analytics,9,10,0
A00486,2025-01-31,Premium Support,6,10,0
A00487,2025-01-31,Automation,7,28,0
A00488,2025-01-31,Core,4,2,0
A00489,2025-01-31,Core,17,28,1
A00490,2025-01-31,Analytics,4,20,0
A00491,2025-01-31,Core,9,25,1
A00492,2025-01-31,Analytics,9,10,0
A00493,2025-01-31,Premium Support,6,20,0
A00494,2025-01-31,API,10,10,0
A00495,2025-01-31,Core,11,0,0
A00496,2025-01-31,API,5,14,0
A00497,2025-01-31,Analytics,7,30,0
A00498,2025-01-31,Premium Support,7,7,0
A00499,2025-01-31,Core,6,5,0
A00500,2025-01-31,Automation,7,28,2
A00501,2025-01-31,API,9,28,0
A00502,2025-01-31,Core,9,26,1
A00503,2025-01-31,Automation,9,30,0
A00504,2025-01-31,API,9,30,1
A00505,2025-01-31,Automation,8,28,0
A00506,2025-01-31,Automation,10,29,0
A00507,2025-01-31,Automation,10,23,0
A00508,2025-01-31,API,12,9,0
A00509,2025-01-31,Core,10,14,0
A00510,2025-01-31,Core,3,11,0
A00511,2025-01-31,API,7,15,0
A00512,2025-01-31,Analytics,6,21,1
A00513,2025-01-31,Automation,10,7,0
A00514,2025-01-31,API,4,0,0
A00515,2025-01-31,Premium Support,5,18,0
A00516,2025-01-31,Core,10,30,0
A00517,2025-01-31,Analytics,3,26,0
A00518,2025-01-31,Automation,15,0,0
A00519,2025-01-31,Core,7,18,0
A00520,2025-01-31,Analytics,8,16,0
A00521,2025-01-31,Automation,9,13,0
A00522,2025-01-31,API,9,20,0
A00523,2025-01-31,Automation,2,13,0
A00524,2025-01-31,API,4,28,1
A00525,2025-01-31,Premium Support,8,28,0
A00526,2025-01-31,Premium Support,7,19,0
A00527,2025-01-31,Premium Support,1,14,0
A00528,2025-01-31,Core,10,18,0
A00529,2025-01-31,API,7,27,0
A00530,2025-01-31,Core,10,9,0
A00531,2025-01-31,Analytics,5,26,2
A00532,2025-01-31,Analytics,6,18,0
A00533,2025-01-31,Automation,5,1,0
A00534,2025-01-31,API,7,23,0
A00535,2025-01-31,Premium Support,7,6,0
A00536,2025-01-31,Analytics,9,15,0
A00537,2025-01-31,Automation,15,29,0
A00538,2025-01-31,Automation,8,24,0
A00539,2025-01-31,Premium Support,5,21,0
A00540,2025-01-31,Analytics,6,2,0
A00541,2025-01-31,Automation,10,26,1
A00542,2025-01-31,Core,8,10,0
A00543,2025-01-31,API,11,1,0
A00544,2025-01-31,API,2,29,0
A00545,2025-01-31,Premium Support,8,5,0
A00546,2025-01-31,Automation,5,10,0
A00547,2025-01-31,Premium Support,8,4,0
A00548,2025-01-31,Premium Support,6,19,0
A00549,2025-01-31,API,6,26,0
A00550,2025-01-31,Automation,8,16,0
A00551,2025-01-31,Core,7,26,0
A00552,2025-01-31,API,7,29,0
A00553,2025-01-31,Core,11,27,1
A00554,2025-01-31,Automation,9,5,1
A00555,2025-01-31,Premium Support,5,6,0
A00556,2025-01-31,Automation,11,9,0
A00557,2025-01-31,Premium Support,8,19,0
A00558,2025-01-31,Analytics,11,26,0
A00559,2025-01-31,Premium Support,6,9,0
A00560,2025-01-31,API,12,20,0
A00561,2025-01-31,Automation,4,5,0
A00562,2025-01-31,Automation,7,16,1
A00563,2025-01-31,Automation,3,24,0
A00564,2025-01-31,Analytics,8,12,0
A00565,2025-01-31,Automation,4,5,2
A00566,2025-01-31,Automation,5,12,0
A00567,2025-01-31,Premium Support,5,23,0
A00568,2025-01-31,API,8,28,0
A00569,2025-01-31,API,9,19,1
A00570,2025-01-31,API,7,20,1
A00571,2025-01-31,Core,4,13,1
A00572,2025-01-31,Core,6,28,0
A00573,2025-01-31,Core,2,26,0
A00574,2025-01-31,Automation,12,30,0
A00575,2025-01-31,API,4,26,1
A00576,2025-01-31,Premium Support,4,16,1
A00577,2025-01-31,Automation,9,29,0
A00578,2025-01-31,Core,7,18,0
A00579,2025-01-31,Core,5,18,0
A00580,2025-01-31,Analytics,6,20,1
A00581,2025-01-31,Premium Support,13,5,0
A00582,2025-01-31,Core,9,26,0
A00583,2025-01-31,Core,5,11,1
A00584,2025-01-31,Core,11,20,1
A00585,2025-01-31,API,10,26,0
A00586,2025-01-31,Premium Support,8,3,0
A00587,2025-01-31,Automation,13,9,1
A00588,2025-01-31,API,2,29,2
A00589,2025-01-31,Core,6,11,1
A00590,2025-01-31,Analytics,11,20,0
A00591,2025-01-31,API,14,17,0
A00592,2025-01-31,Analytics,8,26,0
A00593,2025-01-31,Automation,4,15,1
A00594,2025-01-31,Premium Support,6,13,2
A00595,2025-01-31,Analytics,11,0,0
A00596,2025-01-31,Analytics,8,14,0
A00597,2025-01-31,Core,7,18,0
A00598,2025-01-31,Automation,6,21,0
A00599,2025-01-31,API,7,24,0
A00600,2025-01-31,Analytics,5,24,0
A00601,2025-01-31,Analytics,12,14,0
A00602,2025-01-31,Core,6,2,1
A00603,2025-01-31,API,9,7,2
A00604,2025-01-31,Automation,7,12,0
A00605,2025-01-31,Analytics,10,30,1
A00606,2025-01-31,Core,8,23,0
A00607,2025-01-31,API,11,27,0
A00608,2025-01-31,Automation,5,30,0
A00609,2025-01-31,Analytics,7,4,0
A00610,2025-01-31,Analytics,11,0,0
A00611,2025-01-31,Core,6,17,1
A00612,2025-01-31,Automation,13,8,2
A00613,2025-01-31,Premium Support,7,26,1
A00614,2025-01-31,Automation,10,14,0
A00615,2025-01-31,API,10,0,2
A00616,2025-01-31,Automation,10,6,1
A00617,2025-01-31,Analytics,10,10,1
A00618,2025-01-31,Core,10,0,0
A00619,2025-01-31,Analytics,11,9,1
A00620,2025-01-31,Automation,6,16,0
A00621,2025-01-31,Automation,14,27,1
A00622,2025-01-31,Premium Support,8,20,0
A00623,2025-01-31,Premium Support,11,2,0
A00624,2025-01-31,Analytics,8,12,0
A00625,2025-01-31,Core,15,23,0
A00626,2025-01-31,Analytics,9,11,0
A00627,2025-01-31,Premium Support,11,17,0
A00628,2025-01-31,Premium Support,5,30,0
A00629,2025-01-31,Core,9,4,2
A00630,2025-01-31,Core,7,14,0
A00631,2025-01-31,API,10,18,2
A00632,2025-01-31,Automation,10,24,0
A00633,2025-01-31,Premium Support,9,25,0
A00634,2025-01-31,Automation,9,8,0
A00635,2025-01-31,Analytics,7,14,0
A00636,2025-01-31,Core,8,25,0
A00637,2025-01-31,Automation,7,26,1
A00638,2025-01-31,API,8,25,0
A00639,2025-01-31,Premium Support,7,20,0
A00640,2025-01-31,API,8,8,0
A00641,2025-01-31,API,6,11,0
A00642,2025-01-31,Analytics,10,20,0
A00643,2025-01-31,Core,12,7,1
A00644,2025-01-31,Premium Support,4,21,1
A00645,2025-01-31,Premium Support,10,15,0
A00646,2025-01-31,Core,10,13,2
A00647,2025-01-31,Automation,8,11,1
A00648,2025-01-31,Analytics,5,23,1
A00649,2025-01-31,API,7,14,0
A00650,2025-01-31,Premium Support,6,9,0
A00651,2025-01-31,Premium Support,10,11,1
A00652,2025-01-31,Core,12,15,0
A00653,2025-01-31,Analytics,17,19,1
A00654,2025-01-31,Premium Support,13,30,0
A00655,2025-01-31,Premium Support,7,10,0
A00656,2025-01-31,Core,9,5,0
A00657,2025-01-31,Premium Support,11,30,0
A00658,2025-01-31,API,12,4,0
A00659,2025-01-31,API,9,28,0
A00660,2025-01-31,Core,14,4,0
A00661,2025-01-31,Automation,9,11,0
A00662,2025-01-31,Automation,7,30,0
A00663,2025-01-31,Automation,7,5,0
