"account_id","account_name","industry","customer_type","contract_length_months","region","client_tenure_months","deal_value_usd","deal_status"
"A00055","Jones Inc","CyberSecurity","Expansion","24","North America","30","11450.46","Closed -Won"
"A00056","Jones-Young","FinTech","Expansion","29","Europe","3","8980.03","Closed -Won"
"A00057","Washington, Ryan and Cummings","E -Commerce","New","8","LATAM","33","13240.74","Closed -Won"
"A00058","Johnston, Sanchez and Kennedy","Logistics","New","7","LATAM","10","21636.91","Closed -Won"
"A00059","Lee-Davis","CyberSecurity","Expansion","25","Asia","44","12820.98","Closed -Won"
"A00060","Gomez-Jenkins","MarTech","New","15","Asia","41","15513.65","Negotiation"
"A00061","Brown, Valdez and Lucas","HealthTech","New","13","Asia","55","17188.63","Closed -Won"
"A00062","Powell LLC","SMB SaaS","New","18","North America","44","13556.08","Closed -Won"
"A00063","Wright and Sons","Logistics","New","27","LATAM","22","13525.07","Closed -Won"
"A00064","West, Henderson and Ramirez","E -Commerce","New","11","North America","58","20143.6","Closed -Won"
"A00065","Baxter Inc","FinTech","New","35","Europe","25","15745.69","Closed -Won"
"A00066","Morton-Chase","FinTech","New","18","North America","20","19516.95","Closed -Won"
"A00067","Williams PLC","EdTech","New","10","Europe","54","24551.24","Closed -Lost"
"A00068","Novak and Sons","HealthTech","New","8","North America","22","11520.4","Closed -Won"
"A00069","Russell Group","Logistics","Expansion","31","LATAM","5","14377.61","Closed -Won"
"A00070","Hancock Inc","HealthTech","New","9","North America","28","14331.91","Closed -Won"
"A00071","Gray Group","EdTech","New","18","LATAM","47","13017.72","Closed -Lost"
"A00072","House-Glover","SMB SaaS","New","26","LATAM","12","13273.93","Closed -Won"
"A00073","Henderson-Bernard","Logistics","New","21","North America","28","20611.6","Closed -Won"
"A00074","Stanley, Tucker and Lee","HealthTech","New","13","North America","8","15396.99","Closed -Won"
"A00075","Novak PLC","MarTech","New","9","Asia","41","24957.85","Closed -Won"
"A00076","Daniels, Adkins and Brown","E -Commerce","New","27","LATAM","29","13374.7","Closed -Won"
"A00077","Woods, Calhoun and Schmidt","CyberSecurity","New","20","Europe","20","21024.32","Closed -Won"
"A00078","Yu Inc","SMB SaaS","New","7","Asia","14","22035.8","Closed -Won"
"A00079","Jones Inc","Logistics","New","11","North America","34","14668.15","Closed -Won"
"A00080","Hensley, Powell and David","SMB SaaS","New","22","Asia","40","16788.88","Closed -Won"
"A00081","Sanchez, Wheeler and Harvey","FinTech","New","11","North America","56","18531.35","Closed -Won"
"A00082","Sandoval-Cunningham","HealthTech","New","17","LATAM","26","12772.38","Closed -Won"
"A00083","Donovan-Harris","E -Commerce","New","9","North America","10","21654.85","Closed -Lost"
"A00084","Edwards, Baker and Anderson","FinTech","New","29","North America","50","11754.6","Closed -Won"
"A00085","Evans, Stewart and Walton","EdTech","New","24","Europe","38","12917.36","Closed -Won"
"A00086","Smith PLC","HealthTech","New","29","North America","42","12961.37","Closed -Won"
"A00087","Ferrell, Jones and Lewis","SMB SaaS","New","7","Europe","6","15901.02","Negotiation"
"A00088","Anderson-Bailey","FinTech","Expansion","17","North America","19","16311.34","Closed -Won"
"A00089","Suarez LLC","HealthTech","New","14","North America","46","12454.37","Closed -Won"
"A00090","Moore-Bass","HealthTech","New","24","Asia","50","14547.38","Closed -Won"
"A00091","Turner, Riggs and Roman","HealthTech","New","30","Asia","26","10542.03","Closed -Won"
"A00092","Smith, Montoya and Evans","E -Commerce","Expansion","12","Asia","48","19658.15","Closed -Won"
"A00093","Garcia, Humphrey and Baker","EdTech","New","29","North America","50","17779.99","Closed -Won"
"A00094","Newton and Sons","SMB SaaS","New","23","Europe","23","13610.91","Closed -Won"
"A00095","Campbell-Clark","EdTech","Expansion","30","Europe","53","14231.14","Closed -Won"
"A00096","Harris-Walters","E -Commerce","New","8","Europe","18","12347.48","Closed -Won"
"A00097","Wagner-King","CyberSecurity","Expansion","35","Europe","15","11282.9","Closed -Won"
"A00098","Davis Group","CyberSecurity","New","19","LATAM","41","10676.7","Closed -Won"
"A00099","Williams-Cook","Logistics","New","14","Europe","38","11296.52","Negotiation"
"A00100","Walsh LLC","HealthTech","New","11","Europe","9","18834.02","Closed -Won"
"A00101","Figueroa PLC","E -Commerce","New","35","Asia","50","19143.03","Closed -Won"
"A00102","Patterson, Smith and Jones","Logistics","Expansion","32","Asia","12","9522.19","Closed -Won"
"A00103","Mckee, Gardner and Davenport","Logistics","New","9","Europe","48","17794.68","Negotiation"
"A00104","Tran, Jordan and Williams","E -Commerce","Expansion","19","North America","1","10116.09","Closed -Won"
"A00105","Nolan-Flynn","CyberSecurity","New","28","LATAM","48","18058.11","Closed -Won"
"A00106","Nolan and Sons","Logistics","New","23","Europe","47","15336.27","Closed -Won"
"A00107","Wright, Garcia and Deleon","E -Commerce","Expansion","11","Asia","47","12916.8","Closed -Won"
"A00108","Dickson-Brady","SMB SaaS","New","16","Europe","40","16783.44","Closed -Won"
"A00109","Hancock and Sons","HealthTech","Expansion","17","North America","28","20394.47","Closed -Won"
"A00110","Johnson-Doyle","EdTech","New","14","North America","42","7501.18","Closed -Won"
"A00111","Patton-Jenkins","FinTech","Expansion","34","North America","17","19551.82","Closed -Won"
"A00112","Shields, Cochran and Adams","FinTech","New","12","Europe","47","11818.63","Closed -Won"
"A00113","Rodriguez, Brennan and Garrison","MarTech","New","27","Europe","33","20694.58","Closed -Won"
"A00114","Gonzalez Group","HealthTech","New","33","Asia","28","18466.27","Negotiation"
"A00115","Torres-Pope","MarTech","New","29","Asia","30","10514.69","Closed -Won"
"A00116","Walker Ltd","MarTech","New","29","North America","34","12671.78","Closed -Won"
"A00117","Ross LLC","E -Commerce","New","10","Asia","3","16921.53","Closed -Won"
"A00118","Rasmussen LLC","SMB SaaS","Expansion","9","LATAM","9","18787.56","Closed -Won"
"A00119","May-Ross","Logistics","New","29","Europe","15","16904.41","Closed -Won"
"A00120","Rivera, Johnson and Wiley","MarTech","Expansion","28","Europe","7","16560.26","Negotiation"
"A00121","White-Estes","EdTech","Expansion","28","Europe","26","12444.77","Closed -Won"
"A00122","Johnson-Carlson","Logistics","New","18","North America","40","15135.21","Negotiation"
"A00123","Chandler-Edwards","FinTech","New","21","Asia","39","14706.53","Closed -Won"
"A00124","Joyce, Wilson and Lam","E -Commerce","New","6","North America","28","8995.33","Closed -Won"
"A00125","Scott Ltd","MarTech","New","14","North America","51","16342.05","Closed -Won"
"A00126","Smith-Frost","HealthTech","New","21","Europe","34","13531.97","Closed -Won"
"A00127","Mcdaniel, Bentley and Mclaughlin","E -Commerce","New","9","North America","5","20503.67","Closed -Won"
"A00128","Diaz Inc","EdTech","New","9","North America","46","19679.0","Closed -Won"
"A00129","Mccall, Hanson and Alvarado","HealthTech","New","7","Europe","34","15737.06","Closed -Won"
"A00130","Cortez LLC","CyberSecurity","New","12","Europe","38","19416.84","Closed -Won"
"A00131","Parker, Ortiz and Powell","HealthTech","New","35","North America","34","17461.0","Closed -Won"
"A00132","Spencer-Lee","CyberSecurity","New","26","Asia","33","14910.5","Negotiation"
"A00133","Bentley, Byrd and Orr","HealthTech","New","34","Asia","6","9337.01","Closed -Won"
"A00134","Carroll, Sullivan and Bass","MarTech","Expansion","13","LATAM","33","14361.79","Negotiation"
"A00135","Mitchell-Jordan","Logistics","New","23","LATAM","47","13664.88","Closed -Won"
"A00136","Lawson, Morris and Ramos","HealthTech","New","32","Asia","18","14557.57","Closed -Won"
"A00137","Lewis, Kennedy and Santana","Logistics","New","16","Europe","36","14084.65","Closed -Won"
"A00138","Jackson, Miller and Robertson","CyberSecurity","New","25","Europe","2","19413.58","Closed -Won"
"A00139","Harvey, Davis and Crane","SMB SaaS","New","26","North America","21","19855.84","Closed -Won"
"A00140","Chambers and Sons","HealthTech","New","30","LATAM","26","13047.46","Closed -Won"
"A00141","Hernandez Inc","CyberSecurity","Expansion","35","North America","58","9701.92","Closed -Won"
"A00142","Riggs PLC","SMB SaaS","New","24","LATAM","13","11117.17","Closed -Won"
"A00143","Gibson Ltd","Logistics","Expansion","23","Asia","17","19966.73","Closed -Won"
"A00144","Lee, Horton and Snyder","HealthTech","New","32","North America","25","18827.94","Closed -Lost"
"A00145","Hernandez Ltd","Logistics","New","26","LATAM","59","10441.63","Closed -Lost"
"A00146","Stafford Inc","FinTech","New","16","Europe","51","9132.69","Closed -Won"
"A00147","Robinson-Brock","E -Commerce","New","24","Europe","3","12634.99","Closed -Won"
"A00148","Holmes, Williams and Wright","MarTech","Expansion","22","LATAM","14","22183.25","Closed -Won"
"A00149","Bryant Group","E -Commerce","Expansion","12","North America","49","16676.87","Closed -Won"
"A00150","Schmidt, Hansen and Stewart","E -Commerce","Expansion","21","Asia","4","14054.51","Closed -Won"
"A00151","Salazar-Ball","FinTech","New","24","Europe","51","14497.31","Closed -Won"
"A00152","Simmons, Meadows and Griffin","E -Commerce","Expansion","33","Europe","17","7474.7","Closed -Won"
"A00153","Manning Group","SMB SaaS","New","23","Asia","55","13832.39","Closed -Won"
"A00154","Green-Wright","MarTech","Expansion","10","North America","18","19960.69","Closed -Won"
"A00155","Ramirez, Strickland and Washington","EdTech","New","35","Europe","26","13422.54","Closed -Won"
"A00156","Hill Inc","SMB SaaS","New","23","Asia","40","14023.5","Closed -Won"
"A00157","Mitchell, Nelson and Flores","FinTech","New","14","Europe","8","16316.45","Negotiation"
"A00158","Miller, Hernandez and Reyes","MarTech","New","28","North America","33","10503.7","Closed -Won"
"A00159","Mccarthy Inc","E -Commerce","New","17","Europe","30","16331.78","Closed -Won"
"A00160","Russell-Daniels","MarTech","Expansion","17","Asia","47","11688.88","Closed -Won"
"A00161","Brown-Wall","SMB SaaS","Expansion","31","Asia","59","13002.83","Closed -Won"
"A00162","Stein-Silva","MarTech","Expansion","32","Asia","40","13487.04","Closed -Won"
"A00163","Smith, Gilmore and Johnston","SMB SaaS","New","21","Europe","25","13489.79","Closed -Won"
"A00164","Smith-Bell","FinTech","New","17","Asia","24","15408.56","Closed -Won"
"A00165","Castaneda-Ashley","CyberSecurity","New","31","Europe","25","14705.53","Negotiation"
"A00166","Medina-Navarro","E -Commerce","New","11","Asia","49","14272.21","Closed -Won"
"A00167","Hurst, Freeman and Nelson","HealthTech","New","28","Asia","19","15487.57","Closed -Won"
"A00168","Johnson-Rogers","HealthTech","New","23","North America","10","11369.04","On -Hold"
"A00169","Yates, Ramsey and Pittman","CyberSecurity","New","31","Asia","20","6369.07","Closed -Won"
"A00170","Hooper PLC","CyberSecurity","New","18","LATAM","2","14965.5","Closed -Won"
"A00171","Meadows PLC","E -Commerce","New","30","LATAM","7","12249.81","Closed -Won"
"A00172","Alvarado, Miller and Patterson","FinTech","New","6","Asia","6","16818.53","Closed -Won"
"A00173","White-Green","E -Commerce","New","28","North America","46","12792.21","Negotiation"
"A00174","Lewis-Murphy","SMB SaaS","Expansion","8","LATAM","43","7408.53","Closed -Won"
"A00175","Ramirez-Bean","FinTech","New","25","North America","42","14520.56","Closed -Won"
"A00176","King-Miller","MarTech","Expansion","11","Europe","28","19206.19","Closed -Won"
"A00177","Curry Inc","MarTech","New","34","North America","43","16251.37","Negotiation"
"A00178","Walker-Jones","SMB SaaS","Expansion","29","North America","10","9317.68","Closed -Won"
"A00179","Williams, Johnson and Wright","EdTech","Expansion","9","Asia","54","12498.36","Closed -Won"
"A00180","Howell and Sons","MarTech","Expansion","32","Europe","30","13013.24","Closed -Won"
"A00181","Wells Inc","CyberSecurity","New","13","Europe","56","14264.4","Closed -Won"
"A00182","Gould, Marshall and Scott","FinTech","New","22","Europe","9","12652.03","Negotiation"
"A00183","Jackson-Lawson","Logistics","New","8","LATAM","30","7975.25","Negotiation"
"A00184","Higgins, Strickland and Martin","Logistics","New","9","LATAM","42","14449.98","Negotiation"
"A00185","Rodriguez-Johnson","CyberSecurity","New","13","LATAM","30","20729.32","Closed -Lost"
"A00186","Johnston-Odonnell","CyberSecurity","New","22","Asia","27","12386.11","Closed -Won"
"A00187","Sanders-Espinoza","CyberSecurity","New","22","Europe","10","10025.63","Closed -Won"
"A00188","Vargas Ltd","Logistics","New","31","Asia","23","20698.41","Closed -Won"
"A00189","Garcia LLC","SMB SaaS","New","10","Asia","15","22683.74","Closed -Won"
"A00190","Burke, Martinez and Riggs","MarTech","New","28","LATAM","18","13369.02","Closed -Won"
"A00191","Reed Group","MarTech","Expansion","6","North America","41","15950.7","On -Hold"
"A00192","Wood, Hunter and Peterson","CyberSecurity","Expansion","14","Europe","38","15882.95","Closed -Lost"
"A00193","Short-Garcia","HealthTech","New","11","LATAM","36","18555.17","Closed -Won"
"A00194","Reid-Poole","Logistics","New","9","Europe","22","10531.98","Closed -Won"
"A00195","Hernandez, Thompson and Boyd","Logistics","New","23","Europe","57","14880.53","Negotiation"
"A00196","Nelson, Morton and Medina","CyberSecurity","New","33","Europe","6","10640.05","Negotiation"
"A00197","Marshall-Petersen","EdTech","New","26","North America","21","16381.26","Closed -Won"
"A00198","Adams, Christian and Rivas","EdTech","New","31","North America","7","21052.12","Closed -Won"
"A00199","Ramirez Group","MarTech","Expansion","23","Asia","20","16333.32","Closed -Won"
"A00200","Christensen PLC","CyberSecurity","New","7","North America","57","11600.22","Closed -Won"
"A00201","Barnett, Rogers and Snyder","Logistics","Expansion","16","Asia","22","18982.78","Closed -Won"
"A00202","White-Lewis","CyberSecurity","New","30","Europe","54","12555.75","Closed -Won"
"A00203","Peterson-Beard","SMB SaaS","New","7","Asia","30","16893.81","Closed -Won"
"A00204","Beard, Peters and Black","SMB SaaS","Expansion","8","Europe","42","11894.24","Closed -Won"
"A00205","Miller Ltd","CyberSecurity","New","31","Asia","27","9685.89","Closed -Won"
"A00206","Freeman-Chang","EdTech","Expansion","7","LATAM","16","11960.98","Negotiation"
"A00207","Alvarez, Joseph and West","E -Commerce","New","34","Asia","46","4189.63","Closed -Won"
"A00208","Davis and Sons","MarTech","New","28","North America","58","10664.78","Closed -Won"
"A00209","Holt-Torres","CyberSecurity","New","25","Asia","16","23565.29","Closed -Won"
"A00210","Wood, Tran and Cooper","Logistics","Expansion","22","Europe","46","3723.49","Closed -Won"
"A00211","Pierce, Bell and Chavez","EdTech","New","8","Europe","16","8717.16","Closed -Won"
"A00212","King-Martinez","E -Commerce","Expansion","18","North America","43","21966.56","Closed -Won"
"A00213","Stewart Ltd","FinTech","Expansion","30","Asia","47","11162.12","Closed -Won"
"A00214","Tapia, Vaughn and Lee","CyberSecurity","New","33","LATAM","27","13386.84","Closed -Won"
"A00215","Washington, Hardy and Bray","MarTech","New","19","Asia","44","14938.71","Closed -Won"
"A00216","Carlson, Hooper and Wall","MarTech","Expansion","31","LATAM","17","8407.21","Closed -Lost"
"A00217","Perez-White","E -Commerce","Expansion","29","North America","5","19175.02","Negotiation"
"A00218","Erickson and Sons","HealthTech","New","7","Europe","6","14517.81","Closed -Won"
"A00219","Williams-Brown","E -Commerce","New","24","Europe","27","12460.24","Closed -Lost"
"A00220","Terry-Martinez","CyberSecurity","New","24","North America","54","18776.04","Closed -Won"
"A00221","Garcia-Smith","EdTech","New","22","Asia","8","9676.88","Closed -Won"
"A00222","Harrison-Alexander","HealthTech","Expansion","29","Asia","27","15153.58","Closed -Lost"
"A00223","Sheppard LLC","MarTech","New","32","LATAM","42","10940.41","Closed -Won"
"A00224","Wilson-Jones","HealthTech","New","22","LATAM","12","9977.54","Closed -Won"
"A00225","Jones-Soto","EdTech","New","15","LATAM","43","23010.07","Closed -Won"
"A00226","Hernandez PLC","CyberSecurity","New","35","LATAM","19","15504.09","Closed -Won"
"A00227","Miller-Wright","FinTech","New","34","North America","48","18790.41","Closed -Won"
"A00228","Duran, Obrien and Gibbs","CyberSecurity","Expansion","26","LATAM","35","12920.53","Closed -Won"
"A00229","Rowe Group","HealthTech","New","25","Asia","33","10883.87","Closed -Won"
"A00230","Kerr-Evans","SMB SaaS","New","9","Asia","11","2533.35","Closed -Won"
"A00231","Branch, Torres and Oliver","CyberSecurity","Expansion","18","LATAM","28","13732.02","Closed -Won"
"A00232","Choi, Garcia and Farmer","EdTech","New","11","Asia","51","8366.69","Closed -Won"
"A00233","Clark, Guerrero and Moore","E -Commerce","New","21","LATAM","2","15377.88","Closed -Won"
"A00234","Arnold and Sons","FinTech","New","30","Europe","45","9829.31","On -Hold"
"A00235","Ortiz Ltd","FinTech","Expansion","12","Europe","30","16871.51","Closed -Won"
"A00236","Harrison, Johnson and Roberts","SMB SaaS","Expansion","35","LATAM","43","23234.12","Closed -Lost"
"A00237","Warner-Gibson","Logistics","New","9","Asia","40","26304.04","Negotiation"
"A00238","Hall, Baker and Moody","HealthTech","New","8","North America","26","16282.28","Closed -Won"
"A00239","Guerrero, Peck and Coleman","EdTech","New","35","Europe","19","14954.6","Closed -Won"
"A00240","Walker, Hernandez and Baker","HealthTech","New","9","LATAM","38","12195.95","Negotiation"
"A00241","Jones and Sons","MarTech","New","28","Asia","9","11873.83","Closed -Won"
"A00242","Larson-Holloway","EdTech","Expansion","28","Europe","35","11325.53","Closed -Won"
"A00243","Gonzales-Harrison","EdTech","Expansion","15","LATAM","6","20930.19","Negotiation"
"A00244","Lyons-Bender","E -Commerce","New","7","North America","39","13432.17","Closed -Won"
"A00245","Fernandez, Kim and George","HealthTech","Expansion","15","Europe","38","23641.24","Closed -Won"
"A00246","Navarro-Munoz","SMB SaaS","Expansion","8","Asia","5","11284.94","Closed -Won"
"A00247","Davis Ltd","CyberSecurity","New","26","LATAM","45","14436.57","Closed -Won"
"A00248","Matthews, Smith and Hubbard","Logistics","New","32","Asia","25","9926.84","Closed -Won"
"A00249","Johnston-Hines","HealthTech","Expansion","35","North America","47","17129.11","Closed -Won"
"A00250","Ruiz Ltd","CyberSecurity","New","30","Europe","3","14188.64","Closed -Won"
"A00251","Moon-White","Logistics","Expansion","29","Asia","11","14866.16","Negotiation"
"A00252","Graham, Olsen and Costa","HealthTech","New","32","Asia","30","13760.49","Closed -Won"
"A00253","Bailey-Cook","Logistics","New","29","Asia","12","17226.58","On -Hold"
"A00254","Garcia, Martin and Jenkins","EdTech","Expansion","25","Europe","20","17681.89","Negotiation"
"A00255","Roberts-Landry","Logistics","New","35","Asia","39","18324.23","Closed -Won"
"A00256","Johnson, Miller and King","MarTech","New","15","Europe","9","11237.23","Closed -Won"
"A00257","Cordova Group","Logistics","New","18","Asia","40","16283.88","Closed -Lost"
"A00258","Bryan, Smith and Booth","HealthTech","New","33","Asia","7","13010.4","Closed -Won"
"A00259","Gutierrez-Lopez","MarTech","New","15","Europe","11","20314.4","Closed -Won"
"A00260","Dean-Jimenez","EdTech","New","14","Europe","35","15989.49","Closed -Won"
"A00261","Wolf-Harris","HealthTech","New","10","Asia","47","16200.93","Closed -Won"
"A00262","Anderson, Roberts and Gilmore","EdTech","New","14","Europe","11","13892.76","Closed -Won"
"A00263","Martinez-Dudley","MarTech","New","23","Europe","18","11746.07","Closed -Won"
"A00264","Lloyd, Mckinney and Collins","HealthTech","Expansion","32","LATAM","55","15293.8","Closed -Won"
"A00265","Tran Inc","CyberSecurity","New","10","Asia","59","19899.58","Negotiation"
"A00266","Gay Inc","E -Commerce","New","26","North America","35","11922.17","Closed -Won"
"A00267","Valentine-Holland","Logistics","New","28","Asia","27","20279.15","Closed -Won"
"A00268","Jimenez Ltd","CyberSecurity","New","32","Europe","21","17277.47","Closed -Won"
"A00269","Hicks-Hill","HealthTech","Expansion","28","North America","37","6878.97","Closed -Won"
"A00270","Baird-Sanchez","FinTech","New","10","Europe","35","11337.53","Closed -Won"
"A00271","Thomas, Lee and Greene","MarTech","New","20","Europe","18","24153.55","Closed -Won"
"A00272","Suarez, Shields and Hill","MarTech","Expansion","34","LATAM","2","14514.51","Closed -Won"
"A00273","Morgan-French","HealthTech","Expansion","33","LATAM","9","11383.95","Closed -Won"
"A00274","Hoover-Campbell","Logistics","Expansion","24","North America","57","11511.59","Negotiation"
"A00275","Monroe-Carpenter","E -Commerce","Expansion","34","Europe","25","14455.82","Closed -Won"
"A00276","Burns, Hernandez and Ryan","CyberSecurity","Expansion","26","North America","29","18672.51","Closed -Won"
"A00277","Cook-Hines","FinTech","New","7","Europe","28","13649.26","Closed -Won"
"A00278","Gibson-Morris","Logistics","New","33","LATAM","47","11897.91","Closed -Won"
"A00279","Pollard and Sons","HealthTech","New","11","Asia","4","5937.96","Closed -Won"
"A00280","Reyes, Chase and Jenkins","MarTech","New","17","North America","5","11360.52","Closed -Won"
"A00281","Garner-Thornton","MarTech","New","13","LATAM","17","12206.93","Closed -Lost"
"A00282","Hughes-Alvarado","Logistics","New","27","Europe","29","16285.67","Closed -Won"
"A00283","Pollard, Simpson and Johnson","EdTech","New","6","Europe","40","16622.03","Closed -Won"
"A00284","Sanford, Rivera and Garcia","HealthTech","Expansion","25","LATAM","29","20755.32","Closed -Won"
"A00285","Garcia-Lozano","EdTech","Expansion","31","North America","27","10238.49","Closed -Won"
"A00286","Bowen Group","EdTech","New","29","Asia","56","15533.95","Closed -Won"
"A00287","Booker, Jones and Harrington","HealthTech","New","15","Europe","10","15642.17","Closed -Won"
"A00288","Morgan-Schwartz","HealthTech","New","32","North America","34","11000.21","Closed -Won"
"A00289","Miller, Murphy and Craig","HealthTech","New","16","Asia","32","18651.46","Closed -Won"
"A00290","James, Stewart and Higgins","MarTech","Expansion","26","Asia","28","21816.94","Closed -Won"
"A00291","Brennan-Johnson","EdTech","Expansion","21","LATAM","48","15095.39","Negotiation"
"A00292","Young Ltd","MarTech","Expansion","8","LATAM","16","13090.32","Closed -Won"
"A00293","Bright-Francis","CyberSecurity","Expansion","6","North America","57","20975.51","Closed -Won"
"A00294","Good-Hodges","HealthTech","Expansion","11","Europe","20","16746.87","Closed -Won"
"A00295","Brennan, Wallace and Benson","SMB SaaS","New","34","Europe","33","10139.67","Closed -Won"
"A00296","Williams Inc","Logistics","New","34","Asia","31","14224.46","Closed -Won"
"A00297","Howard-Jordan","HealthTech","New","18","Europe","51","13552.01","Closed -Won"
"A00298","Schmidt PLC","EdTech","New","35","LATAM","26","11616.67","Closed -Won"
"A00299","Sparks, Jackson and Miller","HealthTech","New","7","Europe","17","11803.16","Closed -Won"
"A00300","Harvey-Allen","EdTech","New","35","LATAM","2","12322.29","Closed -Won"
"A00301","Thomas, Murray and King","EdTech","Expansion","12","North America","22","18242.83","Closed -Won"
"A00302","Estrada-Nolan","HealthTech","New","7","LATAM","49","13822.55","Closed -Won"
"A00303","Santana-Byrd","FinTech","Expansion","28","North America","1","15344.13","Closed -Won"
"A00304","Jones LLC","MarTech","Expansion","17","LATAM","53","18870.29","Closed -Won"
"A00305","Evans, Hayden and Vaughn","CyberSecurity","New","14","North America","33","13804.69","Closed -Won"
"A00306","Bruce-Gonzalez","EdTech","New","28","Asia","9","10189.32","Negotiation"
