account_id,date,csat_score,comment_sentiment_score
A00006,2024-10-26,7.6,0.45
A00006,2024-11-29,7.0,0.71
A00006,2024-12-24,7.2,0.61
A00007,2023-01-29,7.4,0.25
A00007,2023-02-27,5.6,0.16
A00007,2023-03-28,6.8,0.52
A00007,2023-04-22,5.6,0.19
A00007,2023-05-30,7.0,0.68
A00007,2023-06-29,6.4,-0.18
A00007,2023-07-29,7.6,0.27
A00007,2023-08-28,7.0,0.4
A00007,2023-09-27,5.4,0.48
A00007,2023-10-31,7.8,0.18
A00007,2023-11-21,6.6,-0.16
A00007,2023-12-25,6.2,0.73
A00007,2024-01-24,5.6,0.14
A00007,2024-02-20,5.4,0.36
A00007,2024-03-31,6.8,-0.07
A00007,2024-04-29,7.3,0.34
A00007,2024-05-26,5.1,-0.14
A00007,2024-06-25,9.3,-0.18
A00007,2024-07-29,6.1,0.23
A00007,2024-08-30,4.8,-0.15
A00007,2024-09-22,5.4,0.31
A00007,2024-10-30,6.9,0.82
A00007,2024-11-27,6.4,0.33
A00007,2024-12-23,6.3,0.28
A00008,2023-01-28,7.3,0.7
A00008,2023-02-24,7.3,0.59
A00008,2023-03-25,9.3,0.81
A00008,2023-04-21,8.1,0.7
A00008,2023-05-29,6.8,0.51
A00008,2023-06-30,9.6,1.03
A00008,2023-07-30,7.4,1.55
A00008,2023-08-25,7.2,0.62
A00008,2023-09-22,8.7,1.08
A00008,2023-10-30,8.1,0.69
A00008,2023-11-21,6.5,0.79
A00008,2023-12-30,7.4,0.75
A00008,2024-01-31,8.3,0.82
A00008,2024-02-20,10.0,0.7
A00008,2024-03-27,5.5,0.94
A00008,2024-04-23,7.3,0.88
A00008,2024-05-29,9.5,0.31
A00008,2024-06-29,7.8,0.95
A00008,2024-07-24,7.9,0.96
A00008,2024-08-31,7.6,0.66
A00008,2024-09-27,9.3,0.49
A00008,2024-10-29,8.5,0.55
A00008,2024-11-27,9.2,0.78
A00008,2024-12-22,7.1,0.71
A00009,2023-01-24,7.0,0.21
A00009,2023-02-25,6.4,0.41
A00009,2023-03-27,10.0,0.76
A00009,2023-04-27,8.3,0.55
A00009,2023-05-25,8.8,0.77
A00009,2023-06-25,7.8,0.05
A00009,2023-07-23,10.0,0.69
A00009,2023-08-25,7.8,1.27
A00009,2023-09-30,8.2,-0.01
A00009,2023-10-26,8.9,0.1
A00009,2023-11-27,7.4,0.16
A00009,2023-12-27,8.0,0.91
A00009,2024-01-27,7.8,1.02
A00009,2024-02-21,9.2,0.57
A00009,2024-03-25,8.6,0.16
A00009,2024-04-27,8.6,0.94
A00009,2024-05-24,9.0,0.8
A00009,2024-06-21,8.0,0.72
A00009,2024-07-22,7.1,0.72
A00009,2024-08-25,7.4,0.5
A00009,2024-09-27,9.4,0.55
A00009,2024-10-28,10.0,0.68
A00009,2024-11-28,7.0,0.73
A00009,2024-12-25,7.9,0.3
A00010,2023-01-29,7.7,0.69
A00010,2023-02-28,7.8,0.38
A00010,2023-03-31,6.5,0.69
A00010,2023-04-24,8.0,0.38
A00010,2023-05-27,8.0,0.46
A00010,2023-06-22,7.0,0.28
A00010,2023-07-22,8.2,0.07
A00010,2023-08-24,6.3,0.71
A00010,2023-09-30,6.9,0.42
A00010,2023-10-26,7.0,0.29
A00010,2023-11-27,8.0,0.87
A00010,2023-12-31,5.6,0.37
A00010,2024-01-25,8.6,0.34
A00010,2024-02-26,7.7,1.11
A00010,2024-03-28,6.8,0.62
A00010,2024-04-28,7.3,0.48
A00010,2024-05-31,8.6,0.97
A00010,2024-06-30,9.0,0.48
A00010,2024-07-25,7.2,0.97
A00010,2024-08-24,7.8,-0.16
A00010,2024-09-22,8.1,0.29
A00010,2024-10-25,8.0,0.59
A00010,2024-11-30,5.7,0.22
A00010,2024-12-23,7.3,0.14
A00011,2023-01-26,6.8,0.56
A00011,2023-02-27,7.9,0.56
A00011,2023-03-27,8.6,0.46
A00011,2023-04-24,9.4,0.78
A00011,2023-05-23,7.0,0.42
A00011,2023-06-27,7.9,-0.01
A00011,2023-07-31,6.7,0.56
A00011,2023-08-25,7.9,0.67
A00011,2023-09-21,8.1,0.89
A00011,2023-10-25,8.2,0.58
A00011,2023-11-28,5.9,0.54
A00011,2023-12-25,7.8,0.14
A00011,2024-01-23,9.5,0.21
A00011,2024-02-20,6.4,0.4
A00011,2024-03-29,8.1,0.69
A00011,2024-04-27,7.2,0.86
A00011,2024-05-27,8.0,0.57
A00011,2024-06-30,7.9,0.47
A00011,2024-07-28,8.4,0.45
A00011,2024-08-31,8.3,0.82
A00011,2024-09-28,9.5,0.38
A00011,2024-10-27,6.7,0.19
A00011,2024-11-30,7.0,0.47
A00011,2024-12-22,6.2,0.67
A00012,2023-01-22,7.1,0.4
A00012,2023-02-25,8.0,0.89
A00012,2023-03-25,5.7,0.56
A00012,2023-04-30,6.7,0.35
A00012,2023-05-28,6.5,0.8
A00012,2023-06-24,6.1,0.04
A00012,2023-07-31,6.7,0.36
A00012,2023-08-28,7.4,0.05
A00012,2023-09-29,7.7,0.95
A00012,2023-10-29,6.1,0.11
A00012,2023-11-26,5.4,0.35
A00012,2023-12-22,8.5,0.52
A00012,2024-01-30,7.3,0.09
A00012,2024-02-24,7.3,0.04
A00012,2024-03-29,6.3,0.6
A00012,2024-04-29,8.6,0.37
A00012,2024-05-28,6.8,0.73
A00012,2024-06-23,7.7,0.48
A00012,2024-07-22,6.2,0.02
A00012,2024-08-23,6.3,-0.39
A00012,2024-09-28,4.9,0.25
A00012,2024-10-29,7.5,0.45
A00012,2024-11-21,7.2,0.29
A00012,2024-12-26,7.2,0.13
A00013,2023-01-24,8.8,0.57
A00013,2023-02-23,8.9,1.02
A00013,2023-03-25,8.0,0.54
A00013,2023-04-22,7.6,0.58
A00013,2023-05-31,8.5,0.63
A00013,2023-06-25,7.7,0.9
A00013,2023-07-26,8.0,1.0
A00013,2023-08-26,8.9,0.41
A00013,2023-09-28,7.9,0.51
A00013,2023-10-27,7.8,0.8
A00013,2023-11-28,8.7,0.77
A00013,2023-12-23,8.5,0.63
A00013,2024-01-24,9.0,0.65
A00013,2024-02-21,6.8,0.71
A00013,2024-03-27,7.9,0.41
A00013,2024-04-30,8.4,0.59
A00013,2024-05-27,9.4,0.79
A00013,2024-06-27,6.6,0.08
A00013,2024-07-24,10.0,0.94
A00013,2024-08-30,9.5,0.56
A00013,2024-09-28,8.2,0.65
A00013,2024-10-31,9.2,0.42
A00013,2024-11-29,10.0,0.77
A00013,2024-12-28,8.1,0.99
A00014,2023-01-28,5.1,0.2
A00014,2023-02-19,6.4,0.66
A00014,2023-03-27,5.5,0.38
A00014,2023-04-24,5.7,0.08
A00014,2023-05-25,8.2,0.21
A00014,2023-06-28,6.3,0.73
A00014,2023-07-28,4.9,0.8
A00014,2023-08-23,6.5,0.3
A00014,2023-09-25,6.7,0.18
A00014,2023-10-25,8.3,0.13
A00014,2023-11-27,6.9,-0.15
A00014,2023-12-30,6.7,0.14
A00014,2024-01-28,6.8,0.44
A00014,2024-02-20,6.4,0.82
A00014,2024-03-31,7.2,0.37
A00014,2024-04-21,7.2,0.07
A00014,2024-05-25,6.9,0.57
A00014,2024-06-29,7.3,0.52
A00014,2024-07-22,7.7,0.3
A00014,2024-08-24,7.7,-0.22
A00014,2024-09-22,6.6,0.68
A00014,2024-10-27,3.7,0.28
A00014,2024-11-23,5.5,0.32
A00014,2024-12-27,5.4,0.21
A00015,2023-01-27,8.9,0.43
A00015,2023-02-19,10.0,1.15
A00015,2023-03-23,8.1,0.68
A00015,2023-04-28,8.4,1.05
A00015,2023-05-23,7.0,0.42
A00015,2023-06-25,8.5,0.68
A00015,2023-07-23,9.5,0.55
A00015,2023-08-30,8.6,0.25
A00015,2023-09-26,7.6,0.24
A00015,2023-10-30,7.7,1.2
A00015,2023-11-28,8.0,0.55
A00015,2023-12-24,8.1,0.56
A00015,2024-01-28,9.5,0.37
A00015,2024-02-22,9.6,0.73
A00015,2024-03-30,6.6,0.68
A00015,2024-04-23,8.4,1.07
A00015,2024-05-24,8.4,0.65
A00015,2024-06-29,8.6,0.82
A00015,2024-07-27,9.9,1.18
A00015,2024-08-22,7.2,0.74
A00015,2024-09-23,8.2,0.89
A00015,2024-10-25,7.3,0.45
A00015,2024-11-30,9.0,0.73
A00015,2024-12-24,8.7,0.95
A00016,2023-01-24,6.6,0.41
A00016,2023-02-28,9.1,0.78
A00016,2023-03-23,8.8,1.47
A00016,2023-04-27,6.9,0.74
A00016,2023-05-24,9.3,0.66
A00016,2023-06-24,8.7,0.85
A00016,2023-07-27,8.8,0.48
A00016,2023-08-29,8.5,1.13
A00016,2023-09-22,7.9,0.56
A00016,2023-10-24,8.3,0.71
A00016,2023-11-28,7.5,0.72
A00016,2023-12-29,7.9,0.9
A00016,2024-01-23,7.8,0.12
A00016,2024-02-20,7.4,0.22
A00016,2024-03-28,9.6,0.8
A00016,2024-04-24,7.6,0.56
A00016,2024-05-25,8.9,0.65
A00016,2024-06-24,10.0,0.35
A00016,2024-07-26,8.1,0.53
A00016,2024-08-26,9.4,0.8
A00016,2024-09-28,9.0,0.37
A00016,2024-10-23,8.5,0.61
A00016,2024-11-23,7.4,1.08
A00016,2024-12-22,8.2,0.68
A00017,2023-01-26,9.2,0.61
A00017,2023-02-21,8.1,0.03
A00017,2023-03-27,6.9,0.54
A00017,2023-04-26,9.3,0.74
A00017,2023-05-30,6.5,0.98
A00017,2023-06-30,7.5,0.45
A00017,2023-07-27,8.2,0.73
A00017,2023-08-28,8.2,0.78
A00017,2023-09-23,9.3,1.16
A00017,2023-10-27,8.1,1.13
A00017,2023-11-27,7.6,0.72
A00017,2023-12-23,8.5,0.36
A00017,2024-01-30,8.0,0.35
A00017,2024-02-21,8.0,-0.05
A00017,2024-03-22,7.0,0.37
A00017,2024-04-30,7.8,0.75
A00017,2024-05-25,7.2,0.28
A00017,2024-06-23,5.3,1.14
A00017,2024-07-30,7.9,0.6
A00017,2024-08-22,8.4,1.11
A00017,2024-09-27,7.9,0.49
A00017,2024-10-23,8.8,0.86
A00017,2024-11-30,7.9,0.97
A00017,2024-12-24,9.1,0.07
A00018,2023-01-30,7.4,0.41
A00018,2023-02-25,7.4,0.46
A00018,2023-03-26,8.7,0.94
A00018,2023-04-23,8.2,-0.02
A00018,2023-05-30,8.2,0.36
A00018,2023-06-29,7.6,0.37
A00018,2023-07-27,8.6,1.07
A00018,2023-08-24,8.1,0.99
A00018,2023-09-21,7.6,0.57
A00018,2023-10-31,7.3,0.53
A00018,2023-11-25,7.3,0.61
A00018,2023-12-22,5.1,0.63
A00018,2024-01-28,7.2,0.57
A00018,2024-02-25,9.2,0.77
A00018,2024-03-26,6.8,0.22
A00018,2024-04-24,6.5,0.28
A00018,2024-05-29,8.7,0.66
A00018,2024-06-25,7.8,0.41
A00018,2024-07-29,7.9,1.17
A00018,2024-08-31,7.0,0.2
A00018,2024-09-23,7.2,-0.1
A00018,2024-10-23,7.8,0.88
A00018,2024-11-22,9.9,0.83
A00018,2024-12-24,7.3,0.82
A00019,2023-01-28,7.7,0.78
A00019,2023-02-25,7.4,0.27
A00019,2023-03-29,8.5,1.26
A00019,2023-04-21,6.5,0.72
A00019,2023-05-27,6.7,0.78
A00019,2023-06-29,8.0,0.83
A00019,2023-07-26,9.3,1.14
A00019,2023-08-26,7.2,1.26
A00019,2023-09-26,8.0,0.51
A00019,2023-10-25,8.6,-0.03
A00019,2023-11-23,7.5,0.81
A00019,2023-12-24,6.8,0.21
A00019,2024-01-29,7.6,0.57
A00019,2024-02-24,7.4,0.36
A00019,2024-03-27,6.7,-0.27
A00019,2024-04-23,7.2,0.27
A00019,2024-05-26,8.6,0.68
A00019,2024-06-22,7.0,1.48
A00019,2024-07-31,5.6,0.62
A00019,2024-08-26,6.1,0.34
A00019,2024-09-27,7.6,-0.12
A00019,2024-10-26,7.8,0.81
A00019,2024-11-27,7.5,0.77
A00019,2024-12-27,6.8,0.61
A00020,2023-01-27,8.8,0.56
A00020,2023-02-28,6.6,0.87
A00020,2023-03-26,8.1,0.41
A00020,2023-04-30,7.6,1.32
A00020,2023-05-31,9.0,0.9
A00020,2023-06-28,6.6,1.11
A00020,2023-07-26,8.9,0.21
A00020,2023-08-22,8.7,0.29
A00020,2023-09-25,7.4,0.75
A00020,2023-10-23,7.2,0.44
A00020,2023-11-22,8.7,0.84
A00020,2023-12-23,7.9,0.78
A00020,2024-01-28,7.3,-0.08
A00020,2024-02-24,7.0,1.13
A00020,2024-03-30,6.9,0.64
A00020,2024-04-28,7.3,0.36
A00020,2024-05-31,8.0,0.84
A00020,2024-06-28,5.2,0.8
A00020,2024-07-25,8.0,0.85
A00020,2024-08-22,8.7,0.37
A00020,2024-09-24,6.2,0.53
A00020,2024-10-30,8.2,0.69
A00020,2024-11-30,9.4,0.58
A00020,2024-12-26,7.4,0.56
A00021,2023-01-22,7.1,0.75
A00021,2023-02-19,8.8,0.63
A00021,2023-03-25,7.9,0.28
A00021,2023-04-30,7.0,0.51
A00021,2023-05-22,6.7,0.96
A00021,2023-06-23,5.3,0.61
A00021,2023-07-26,8.3,0.53
A00021,2023-08-29,7.1,0.32
A00021,2023-09-23,8.1,0.3
A00021,2023-10-24,7.7,-0.2
A00021,2023-11-24,5.3,0.3
A00021,2023-12-30,8.1,0.26
A00021,2024-01-24,7.1,0.59
A00021,2024-02-28,7.1,0.7
A00021,2024-03-30,6.8,0.04
A00021,2024-04-24,6.7,0.75
A00021,2024-05-28,7.4,0.82
A00021,2024-06-28,5.3,0.73
A00021,2024-07-24,6.6,0.37
A00021,2024-08-28,6.7,0.18
A00021,2024-09-29,7.1,0.48
A00021,2024-10-25,6.0,0.47
A00021,2024-11-21,7.5,0.92
A00021,2024-12-26,5.8,0.43
A00022,2023-01-31,7.4,0.41
A00022,2023-02-26,6.6,0.34
A00022,2023-03-25,9.2,0.84
A00022,2023-04-28,6.5,0.01
A00022,2023-05-26,10.0,0.28
A00022,2023-06-30,6.4,0.59
A00022,2023-07-24,6.8,1.07
A00022,2023-08-22,8.3,1.11
A00022,2023-09-23,7.3,0.11
A00022,2023-10-24,8.7,0.3
A00022,2023-11-30,8.6,0.88
A00022,2023-12-27,6.4,0.25
A00022,2024-01-24,7.4,0.2
A00022,2024-02-25,7.4,0.39
A00022,2024-03-30,6.7,0.61
A00022,2024-04-22,8.3,0.97
A00022,2024-05-24,7.7,0.82
A00022,2024-06-21,7.8,0.2
A00022,2024-07-22,6.3,0.24
A00022,2024-08-26,8.7,0.2
A00022,2024-09-23,6.8,0.56
A00022,2024-10-24,6.8,0.99
A00022,2024-11-30,8.1,0.54
A00022,2024-12-26,8.5,0.43
A00023,2023-01-22,10.0,0.99
A00023,2023-02-25,9.8,0.71
A00023,2023-03-24,9.6,0.63
A00023,2023-04-21,7.8,0.27
A00023,2023-05-30,5.6,0.89
A00023,2023-06-22,8.5,0.32
A00023,2023-07-23,7.9,0.85
A00023,2023-08-31,7.2,0.64
A00023,2023-09-25,8.7,0.72
A00023,2023-10-27,9.4,0.75
A00023,2023-11-21,8.6,0.2
A00023,2023-12-23,9.0,0.48
A00023,2024-01-27,8.4,0.61
A00023,2024-02-28,8.2,0.46
A00023,2024-03-22,7.0,0.55
A00023,2024-04-28,6.2,0.93
A00023,2024-05-26,7.4,0.84
A00023,2024-06-26,9.9,0.49
A00023,2024-07-31,9.3,0.17
A00023,2024-08-31,9.1,0.79
A00023,2024-09-21,7.3,0.45
A00023,2024-10-31,7.6,1.37
A00023,2024-11-26,7.9,0.8
A00023,2024-12-25,8.0,0.32
A00024,2023-01-26,8.7,0.91
A00024,2023-02-24,9.4,0.13
A00024,2023-03-25,9.3,-0.24
A00024,2023-04-30,8.9,0.62
A00024,2023-05-24,8.2,-0.16
A00024,2023-06-24,7.0,0.7
A00024,2023-07-27,8.7,0.26
A00024,2023-08-25,8.9,0.6
A00024,2023-09-29,5.8,0.58
A00024,2023-10-27,8.7,0.95
A00024,2023-11-24,9.2,0.6
A00024,2023-12-28,7.3,0.21
A00024,2024-01-24,7.3,0.69
A00024,2024-02-27,8.4,0.62
A00024,2024-03-26,9.0,0.12
A00024,2024-04-29,8.7,1.06
A00024,2024-05-29,9.5,0.51
A00024,2024-06-23,7.4,0.4
A00024,2024-07-28,9.9,0.53
A00024,2024-08-27,7.8,0.91
A00024,2024-09-30,9.8,1.07
A00024,2024-10-25,7.0,1.35
A00024,2024-11-28,8.3,0.83
A00024,2024-12-24,8.9,0.93
A00025,2023-01-31,9.6,0.03
A00025,2023-02-20,7.9,0.74
A00025,2023-03-26,7.2,0.42
A00025,2023-04-22,7.1,0.73
A00025,2023-05-29,8.6,0.91
A00025,2023-06-30,8.4,0.62
A00025,2023-07-29,6.3,0.83
A00025,2023-08-22,8.7,0.18
A00025,2023-09-21,7.9,0.47
A00025,2023-10-29,9.1,0.64
A00025,2023-11-26,8.7,0.62
A00025,2023-12-23,8.7,0.8
A00025,2024-01-31,7.3,1.03
A00025,2024-02-25,7.8,0.41
A00025,2024-03-23,9.9,1.39
A00025,2024-04-27,8.6,0.26
A00025,2024-05-31,6.3,0.25
A00025,2024-06-21,8.9,0.63
A00025,2024-07-29,8.7,0.33
A00025,2024-08-26,7.0,0.98
A00025,2024-09-24,8.4,0.45
A00025,2024-10-25,8.0,0.39
A00025,2024-11-27,7.9,0.81
A00025,2024-12-27,8.5,0.44
A00026,2023-01-27,7.7,1.04
A00026,2023-02-21,7.5,0.56
A00026,2023-03-31,7.4,0.78
A00026,2023-04-21,5.3,0.55
A00026,2023-05-30,5.7,0.65
A00026,2023-06-24,7.3,0.5
A00026,2023-07-28,6.9,0.71
A00026,2023-08-24,6.8,0.6
A00026,2023-09-24,8.4,-0.13
A00026,2023-10-22,6.7,0.58
A00026,2023-11-29,5.3,0.87
A00026,2023-12-28,6.7,0.58
A00026,2024-01-29,7.2,0.85
A00026,2024-02-28,8.4,0.55
A00026,2024-03-30,8.4,0.23
A00026,2024-04-21,6.0,0.22
A00026,2024-05-29,5.4,0.66
A00026,2024-06-21,6.8,0.36
A00026,2024-07-27,10.0,0.84
A00026,2024-08-28,8.3,0.4
A00026,2024-09-25,7.4,0.53
A00026,2024-10-29,6.4,0.54
A00026,2024-11-22,8.7,0.12
A00026,2024-12-25,8.3,0.46
A00027,2023-01-26,10.0,0.18
A00027,2023-02-20,9.1,0.37
A00027,2023-03-25,7.2,0.5
A00027,2023-04-24,5.5,0.53
A00027,2023-05-22,7.6,0.61
A00027,2023-06-23,7.8,1.02
A00027,2023-07-27,8.6,0.45
A00027,2023-08-23,5.4,0.59
A00027,2023-09-26,7.3,0.17
A00027,2023-10-27,9.3,0.51
A00027,2023-11-25,6.2,0.6
A00027,2023-12-24,5.6,0.6
A00027,2024-01-22,8.4,0.58
A00027,2024-02-21,8.0,0.23
A00027,2024-03-31,5.5,0.78
A00027,2024-04-27,7.9,0.35
A00027,2024-05-28,6.9,-0.09
A00027,2024-06-24,6.5,0.16
A00027,2024-07-23,4.0,0.26
A00027,2024-08-25,7.3,0.12
A00027,2024-09-22,5.8,0.68
A00027,2024-10-28,6.6,0.55
A00027,2024-11-27,8.7,-0.07
A00027,2024-12-28,6.9,0.79
A00028,2023-01-26,7.1,0.38
A00028,2023-02-19,6.9,-0.09
A00028,2023-03-24,7.1,0.28
A00028,2023-04-25,6.6,0.56
A00028,2023-05-31,6.7,0.09
A00028,2023-06-28,8.6,0.94
A00028,2023-07-24,6.0,0.41
A00028,2023-08-31,5.2,0.58
A00028,2023-09-24,6.9,0.86
A00028,2023-10-23,9.3,0.63
A00028,2023-11-30,5.5,0.44
A00028,2023-12-22,9.8,0.55
A00028,2024-01-22,5.3,0.1
A00028,2024-02-25,7.7,0.52
A00028,2024-03-26,6.9,-0.18
A00028,2024-04-26,5.7,-0.21
A00028,2024-05-25,7.7,0.35
A00028,2024-06-25,7.0,0.28
A00028,2024-07-24,8.4,-0.25
A00028,2024-08-25,6.3,0.38
A00028,2024-09-22,7.6,0.32
A00028,2024-10-28,6.7,0.05
A00028,2024-11-24,8.6,0.37
A00028,2024-12-23,5.9,0.1
A00029,2023-01-26,7.1,0.48
A00029,2023-02-24,7.7,0.55
A00029,2023-03-23,7.9,0.43
A00029,2023-04-29,5.7,0.81
A00029,2023-05-25,7.1,0.69
A00029,2023-06-24,7.3,0.2
A00029,2023-07-25,9.3,0.19
A00029,2023-08-26,9.2,0.56
A00029,2023-09-26,7.9,0.6
A00029,2023-10-29,6.6,0.38
A00029,2023-11-23,6.4,0.23
A00029,2023-12-22,8.9,0.7
A00029,2024-01-22,7.7,0.91
A00029,2024-02-27,6.3,0.45
A00029,2024-03-24,6.2,0.11
A00029,2024-04-21,6.2,0.77
A00029,2024-05-31,7.1,1.05
A00029,2024-06-27,7.6,0.57
A00029,2024-07-31,8.4,0.45
A00029,2024-08-24,6.5,0.15
A00029,2024-09-22,6.8,0.45
A00029,2024-10-29,6.9,0.83
A00029,2024-11-28,6.9,0.94
A00029,2024-12-28,6.4,0.92
A00030,2023-01-31,8.3,0.36
A00030,2023-02-24,6.6,0.28
A00030,2023-03-26,5.6,0.24
A00030,2023-04-28,7.9,0.57
A00030,2023-05-28,6.5,0.77
A00030,2023-06-30,8.9,0.44
A00030,2023-07-24,7.6,0.56
A00030,2023-08-25,6.6,0.66
A00030,2023-09-22,5.6,0.93
A00030,2023-10-23,7.2,0.64
A00030,2023-11-29,6.8,0.95
A00030,2023-12-24,6.5,0.47
A00030,2024-01-24,9.4,0.67
A00030,2024-02-24,6.4,0.56
A00030,2024-03-31,7.3,0.18
A00030,2024-04-24,6.6,0.42
A00030,2024-05-30,7.8,0.36
A00030,2024-06-24,7.4,0.53
A00030,2024-07-25,7.7,0.49
A00030,2024-08-25,6.9,0.41
A00030,2024-09-24,6.6,0.62
A00030,2024-10-31,8.7,0.83
A00030,2024-11-28,7.1,0.17
A00030,2024-12-31,6.3,0.21
A00031,2023-01-22,7.9,0.55
A00031,2023-02-20,8.8,0.32
A00031,2023-03-31,9.3,0.45
A00031,2023-04-23,7.1,0.05
A00031,2023-05-25,7.2,1.36
A00031,2023-06-23,7.6,0.64
A00031,2023-07-22,8.0,0.58
A00031,2023-08-23,6.9,0.09
A00031,2023-09-27,8.0,0.27
A00031,2023-10-29,7.9,0.58
A00031,2023-11-30,8.3,0.45
A00031,2023-12-22,8.7,0.52
