account_id,account_name,churn,industry,closed_won_usd,client_tenure_months,deal_status,feature_purchased,sessions_last_30d,region,csat_score,comment_sentiment_score,support_tickets_30d,last_login_days
A00014,"Mcclure, Ward and Lee",True,SMB SaaS,7183.51,45.0,Closed -Won,Analytics,17.39868551567409,Asia,,,0.0,3.857104419063244
A00015,Williams and Sons,True,HealthTech,52934.32,43.0,Closed -Won,Core,12.076713851777455,North America,,,1.0,2.5202207318217247
A00016,Galloway-Wyatt,True,FinTech,12394.25,47.0,Closed -Won,Core,0.0,North America,,,5.0,33.81056658207912
A00017,James Group,True,CyberSecurity,1851.71,31.0,Closed -Won,Core,3.880353251476821,Europe,,,2.0,25.499570343853083
A00018,"Flowers, Martin and Kelly",True,Logistics,2626.5,8.0,Closed -Lost,API,3.4242343861399394,North America,,,6.0,21.276956738832094
A00019,"Adams, Zuniga and Wong",True,HealthTech,10305.49,50.0,Closed -Won,API,14.296943667808193,LATAM,,,0.0,1.0431530263770141
A00020,"Reid, Ferguson and Sanchez",True,CyberSecurity,17500.27,27.0,Closed -Won,Core,14.207947252823377,LATAM,,,0.0,2.1090039895795942
A00021,Gray-Mayo,True,E -Commerce,13313.75,30.0,Closed -Won,API,6.1095999300244745,LATAM,,,2.0,4.883283555780828
A00022,"Watts, Robinson and Nguyen",True,Logistics,34497.09,22.0,Negotiation,Core,4.355614834654363,North America,,,4.0,33.33855529064691
A00023,Perez Inc,True,HealthTech,20354.14,11.0,Closed -Won,Core,9.908160585012638,Asia,,,2.0,2.2331469963354516
A00024,Morales-Jones,True,SMB SaaS,11859.74,55.0,Closed -Won,Core,5.996361260352986,Asia,,,1.0,32.278749567614064
A00025,"Walter, Edwards and Rios",True,E -Commerce,16427.68,47.0,Closed -Won,Core,18.7582489751636,LATAM,,,1.0,1.7719109575127974
A00026,Wilkerson-Day,True,Logistics,10807.29,38.0,Closed -Won,Premium Support,16.555814997366763,North America,,,1.0,1.795480738932569
A00027,Baker and Sons,True,EdTech,21036.92,24.0,Negotiation,Core,13.284597687983334,Europe,,,2.0,2.0914097731614834
A00028,"Hoffman, Baker and Richards",True,SMB SaaS,7857.99,49.0,Closed -Won,Core,10.975955190188905,LATAM,,,0.0,1.7479967245354686
A00029,"Ross, Robinson and Bright",True,CyberSecurity,21281.81,33.0,Closed -Won,Automation,5.0433755738709785,LATAM,,,4.0,17.38805543530207
A00030,"Snyder, Campos and Callahan",True,HealthTech,12956.45,27.0,Closed -Won,Core,19.8279257192781,North America,,,1.0,1.512389294183101
A00031,Burton Ltd,True,SMB SaaS,10533.2,27.0,Closed -Won,Core,11.923407840440118,Asia,,,1.0,4.022392818747079
A00032,Carlson-Cruz,True,Logistics,33860.55,14.0,Closed -Won,Core,6.933213936841809,Asia,,,2.0,1.7479862567026485
A00033,"Ferrell, Rice and Maddox",True,EdTech,45190.46,6.0,Negotiation,Core,6.833853583000657,LATAM,,,3.0,35.33201057407344
A00034,Frazier Inc,True,E -Commerce,16952.16,33.0,Closed -Won,Core,18.50150934085368,Europe,,,0.0,1.3309639001567832
A00035,"Dyer, Potter and Mack",True,MarTech,11354.3,53.0,Closed -Won,API,18.977647061499567,LATAM,,,0.0,2.9331430304011468
A00036,Rodriguez-Graham,True,E -Commerce,11571.43,4.0,Closed -Won,Analytics,17.115044012747987,North America,,,0.0,2.7334677873513344
A00037,Smith-Bowen,True,SMB SaaS,11488.77,51.0,Closed -Won,Core,17.604559031704344,LATAM,,,1.0,2.4192602365321703
A00038,"Baker, Mason and White",True,SMB SaaS,792.24,49.0,Closed -Won,Automation,14.158802222160626,North America,,,3.0,0.9726646437814801
A00039,Harrell LLC,True,HealthTech,22806.31,17.0,Closed -Won,Core,1.6075053411094282,North America,,,1.0,29.71362903664923
A00040,"Romero, Gonzalez and Brooks",True,SMB SaaS,18864.68,38.0,Closed -Won,Analytics,14.08364312450004,LATAM,,,1.0,3.6861729857461807
A00041,Ryan PLC,True,MarTech,15770.73,10.0,Negotiation,Core,15.864718317258252,LATAM,,,2.0,1.2365262922893203
A00042,George Group,True,CyberSecurity,27103.46,45.0,Closed -Won,Core,13.594189830301248,Asia,,,1.0,2.6409021702125046
A00043,Rodriguez LLC,True,Logistics,5963.27,42.0,Closed -Won,Analytics,13.457491643781154,LATAM,,,1.0,1.0553286698186977
A00044,Allen-Allen,True,MarTech,1946.73,21.0,Closed -Won,Core,11.107645882945032,Asia,,,2.0,3.008383235601769
A00045,"Arroyo, Miller and Tucker",True,MarTech,11130.92,5.0,Negotiation,Core,2.3884460428598424,Asia,,,2.0,19.07840498011824
A00046,Spence PLC,True,MarTech,24019.83,58.0,Closed -Won,Analytics,19.51444554429821,Europe,,,0.0,1.0368121124599998
A00047,Anderson Group,True,Logistics,16689.27,27.0,Closed -Won,Automation,19.623039109640427,Asia,,,3.0,1.2876575233030985
A00048,"Martin, Rose and Obrien",True,MarTech,13447.12,53.0,Closed -Won,Analytics,13.99205860626169,Europe,,,1.0,1.4461974033389766
A00049,Hickman Ltd,True,EdTech,46426.58,40.0,Closed -Won,Core,14.84457081527878,LATAM,,,0.0,2.4046733549242196
A00050,"Harris, Collins and Carney",True,EdTech,36323.51,46.0,Closed -Won,Core,11.057425828888944,North America,,,0.0,2.069383706137783
A00051,"Brooks, Lam and Hayes",True,HealthTech,25792.24,45.0,Closed -Won,Analytics,0.0,North America,,,4.0,12.04273541413631
A00052,Walker LLC,True,MarTech,12846.3,12.0,Closed -Won,Core,19.2789475148426,LATAM,,,1.0,1.9720529862011797
A00053,Chapman and Sons,True,FinTech,75439.12,22.0,Negotiation,Core,9.41230766016592,Europe,,,2.0,0.8564985927089037
A00054,"Robinson, Jones and Welch",True,FinTech,6420.2,28.0,Negotiation,Analytics,4.460433523922467,LATAM,,,4.0,33.95496678408523
A00055,Jones Inc,True,CyberSecurity,31175.85,30.0,Closed -Won,Premium Support,15.617066727935121,North America,,,0.0,2.826902898872407
A00056,Jones-Young,True,FinTech,32719.66,3.0,Closed -Won,Automation,15.582819544667773,Europe,,,1.0,1.9760526614506382
A00057,"Washington, Ryan and Cummings",True,E -Commerce,10545.09,33.0,Closed -Won,Core,4.994135773862526,LATAM,,,4.0,23.529253383106223
A00058,"Johnston, Sanchez and Kennedy",True,Logistics,37520.61,10.0,Closed -Won,Automation,8.359656392831152,LATAM,,,4.0,17.814410453470515
A00059,Lee-Davis,True,CyberSecurity,5977.97,44.0,Closed -Won,Core,13.299548966382012,Asia,,,1.0,1.842397007607881
A00060,Gomez-Jenkins,True,MarTech,20462.29,41.0,Negotiation,Automation,16.019521016469074,Asia,,,1.0,1.0557420499491104
A00061,"Brown, Valdez and Lucas",True,HealthTech,30005.83,55.0,Closed -Won,API,0.0,Asia,,,3.0,22.890346799916088
A00062,Powell LLC,True,SMB SaaS,19774.55,44.0,Closed -Won,API,12.103654121180913,North America,,,1.0,0.8673462342346552
A00063,Wright and Sons,True,Logistics,4159.45,22.0,Closed -Won,Core,14.812442470643044,LATAM,,,0.0,1.7894310367270574
A00064,"West, Henderson and Ramirez",True,E -Commerce,29596.11,58.0,Closed -Won,API,2.8482299819885553,North America,,,4.0,23.49102625234931
A00065,Baxter Inc,True,FinTech,36353.4,25.0,Closed -Won,Analytics,14.650786056250958,Europe,,,1.0,1.2981801667911297
A00066,Morton-Chase,True,FinTech,17769.41,20.0,Closed -Won,API,11.356456371541647,North America,,,1.0,1.7499124043554892
A00067,Williams PLC,True,EdTech,3057.46,54.0,Closed -Lost,Analytics,12.609318080432967,Europe,,,1.0,2.8998913262140826
A00068,Novak and Sons,True,HealthTech,17007.47,22.0,Closed -Won,Core,12.632277739476027,North America,,,0.0,3.105668788324186
A00069,Russell Group,True,Logistics,9808.64,5.0,Closed -Won,Analytics,11.472668135207886,LATAM,,,2.0,2.9262058630906704
A00070,Hancock Inc,True,HealthTech,16314.24,28.0,Closed -Won,Core,14.940618744817007,North America,,,2.0,2.3363540891284145
A00071,Gray Group,True,EdTech,25427.24,47.0,Closed -Lost,Core,15.254336288879234,LATAM,,,3.0,1.742283438612344
A00072,House-Glover,True,SMB SaaS,5547.15,12.0,Closed -Won,Analytics,2.422062594166589,LATAM,,,5.0,27.85262806916421
A00073,Henderson-Bernard,True,Logistics,41386.38,28.0,Closed -Won,Analytics,11.427132955518106,North America,,,1.0,2.3676609932772745
A00074,"Stanley, Tucker and Lee",True,HealthTech,12398.03,8.0,Closed -Won,Core,12.26756394131362,North America,,,1.0,0.0
A00075,Novak PLC,True,MarTech,18028.73,41.0,Closed -Won,Core,18.663708355793712,Asia,,,1.0,0.07663272352698702
A00076,"Daniels, Adkins and Brown",True,E -Commerce,10701.13,29.0,Closed -Won,Analytics,13.506512407781239,LATAM,,,1.0,1.8383323442130528
A00077,"Woods, Calhoun and Schmidt",True,CyberSecurity,25422.5,20.0,Closed -Won,Premium Support,14.090393087754903,Europe,,,2.0,2.2645772446304973
A00078,Yu Inc,True,SMB SaaS,41372.92,14.0,Closed -Won,Analytics,13.474688835813051,Asia,,,1.0,1.5489150961707394
A00079,Jones Inc,True,Logistics,8253.76,34.0,Closed -Won,Automation,17.39909245616493,North America,,,2.0,3.535531148593968
A00080,"Hensley, Powell and David",True,SMB SaaS,23107.96,40.0,Closed -Won,Analytics,1.2700810118331742,Asia,,,4.0,13.424291626130648
A00081,"Sanchez, Wheeler and Harvey",True,FinTech,9248.43,56.0,Closed -Won,Core,17.339624301766545,North America,,,1.0,1.7505920932047423
A00082,Sandoval-Cunningham,True,HealthTech,25001.03,26.0,Closed -Won,Core,14.079702834072643,LATAM,,,0.0,3.3863099451817957
A00083,Donovan-Harris,True,E -Commerce,16021.46,10.0,Closed -Lost,Core,1.7442915743185687,North America,,,8.0,28.857660360710288
A00084,"Edwards, Baker and Anderson",True,FinTech,28841.17,50.0,Closed -Won,Premium Support,19.775639233277765,North America,,,3.0,2.512558693474669
A00085,"Evans, Stewart and Walton",True,EdTech,19133.27,38.0,Closed -Won,Core,16.568926930866553,Europe,,,2.0,1.2247423402425035
A00086,Smith PLC,True,HealthTech,57037.97,42.0,Closed -Won,Core,5.1522245334360495,North America,,,4.0,24.352115909930127
A00087,"Ferrell, Jones and Lewis",True,SMB SaaS,10773.83,6.0,Negotiation,API,1.284474457743165,Europe,,,3.0,17.882710365580394
A00088,Anderson-Bailey,True,FinTech,5078.74,19.0,Closed -Won,API,12.393173254222715,North America,,,0.0,1.9575831201994869
A00089,Suarez LLC,True,HealthTech,10076.47,46.0,Closed -Won,API,18.232110209565967,North America,,,1.0,0.9499585585554677
A00090,Moore-Bass,True,HealthTech,10213.62,50.0,Closed -Won,Core,18.434853768153474,Asia,,,0.0,1.6709252308034817
A00091,"Turner, Riggs and Roman",True,HealthTech,14526.44,26.0,Closed -Won,Premium Support,11.235551684956832,Asia,,,2.0,2.260600303055161
A00092,"Smith, Montoya and Evans",True,E -Commerce,11710.85,48.0,Closed -Won,Core,2.5722386044358383,Asia,,,4.0,31.293527683255817
A00093,"Garcia, Humphrey and Baker",True,EdTech,18038.08,50.0,Closed -Won,Core,16.346572111883987,North America,,,1.0,0.736258731478763
A00094,Newton and Sons,True,SMB SaaS,3288.67,23.0,Closed -Won,Automation,2.784124406813188,Europe,,,4.0,35.328540934653404
A00095,Campbell-Clark,True,EdTech,11662.4,53.0,Closed -Won,Premium Support,11.773096647098429,Europe,,,3.0,1.9474726312768276
A00096,Harris-Walters,True,E -Commerce,11562.91,18.0,Closed -Won,Premium Support,18.297629830981485,Europe,,,1.0,1.506109200261892
A00097,Wagner-King,True,CyberSecurity,26416.14,15.0,Closed -Won,Analytics,14.052038054100663,Europe,,,1.0,1.729482068613623
A00098,Davis Group,True,CyberSecurity,7335.78,41.0,Closed -Won,Automation,0.0,LATAM,,,2.0,22.562595250642207
A00099,Williams-Cook,True,Logistics,7032.69,38.0,Negotiation,Core,13.640038490497139,Europe,,,2.0,0.5506001581913738
A00100,Walsh LLC,True,HealthTech,15769.36,9.0,Closed -Won,Automation,14.00739428329912,Europe,,,1.0,1.4652492226083014
A00101,Figueroa PLC,True,E -Commerce,27549.05,50.0,Closed -Won,Automation,10.823329420654133,Asia,,,0.0,1.7868314750696952
A00102,"Patterson, Smith and Jones",True,Logistics,677.91,12.0,Closed -Won,Core,14.936520856554589,Asia,,,0.0,1.6896098963937516
A00103,"Mckee, Gardner and Davenport",True,Logistics,25567.07,48.0,Negotiation,Core,16.873427766495745,Europe,,,1.0,2.111795918796453
A00104,"Tran, Jordan and Williams",False,E -Commerce,238041.31,1.0,Closed -Won,Premium Support,12.050926418627975,North America,8.2,0.49,0.9,4.636531641557016
A00105,Nolan-Flynn,True,CyberSecurity,14667.91,48.0,Closed -Won,Analytics,12.37446773186037,LATAM,,,1.0,2.6817262268966697
A00106,Nolan and Sons,True,Logistics,17559.64,47.0,Closed -Won,Premium Support,13.554583794779102,Europe,,,1.0,1.3664491644886092
A00107,"Wright, Garcia and Deleon",True,E -Commerce,31270.4,47.0,Closed -Won,Automation,13.986369929619647,Asia,,,1.0,0.42420319608021506
A00108,Dickson-Brady,True,SMB SaaS,10150.82,40.0,Closed -Won,Automation,14.651964882443146,Europe,,,1.0,3.271596365728607
A00109,Hancock and Sons,True,HealthTech,4666.4,28.0,Closed -Won,Core,1.9029804127648542,North America,,,5.0,23.443716631909247
A00110,Johnson-Doyle,True,EdTech,23008.67,42.0,Closed -Won,API,4.432776481700106,North America,,,1.0,35.24249657155846
A00111,Patton-Jenkins,True,FinTech,21670.51,17.0,Closed -Won,Automation,9.79191011411087,North America,,,0.0,2.2777050564924215
A00112,"Shields, Cochran and Adams",True,FinTech,2095.63,47.0,Closed -Won,Analytics,12.313036784033926,Europe,,,1.0,3.067994733268124
A00113,"Rodriguez, Brennan and Garrison",True,MarTech,42551.66,33.0,Closed -Won,Core,14.49806315268991,Europe,,,0.0,3.7291765252393914
A00114,Gonzalez Group,True,HealthTech,20686.42,28.0,Negotiation,API,2.4508208138664704,Asia,,,2.0,28.639263016077358
A00115,Torres-Pope,True,MarTech,7734.72,30.0,Closed -Won,Core,17.893539324609655,Asia,,,1.0,3.0596706373498606
A00116,Walker Ltd,True,MarTech,21912.65,34.0,Closed -Won,Core,19.324056024762367,North America,,,1.0,0.7903979276852757
A00117,Ross LLC,True,E -Commerce,19865.05,3.0,Closed -Won,Core,3.9948389895130805,Asia,,,1.0,29.42078029621823
A00118,Rasmussen LLC,True,SMB SaaS,11304.28,9.0,Closed -Won,Core,16.28992752650748,LATAM,,,1.0,1.6649873507436805
A00119,May-Ross,True,Logistics,17418.71,15.0,Closed -Won,Analytics,9.636615396791091,Europe,,,0.0,2.3425698517042095
A00120,"Rivera, Johnson and Wiley",True,MarTech,17522.81,7.0,Negotiation,Core,15.28964471948445,Europe,,,0.0,3.6111939354362215
A00121,White-Estes,True,EdTech,16088.52,26.0,Closed -Won,Analytics,10.774207695617415,Europe,,,2.0,2.249889394279258
A00122,Johnson-Carlson,True,Logistics,15080.32,40.0,Negotiation,Automation,13.81238241273575,North America,,,1.0,1.0623092607331233
A00123,Chandler-Edwards,True,FinTech,20023.91,39.0,Closed -Won,Analytics,2.780161365180475,Asia,,,1.0,19.04402405663056
A00124,"Joyce, Wilson and Lam",True,E -Commerce,17920.58,28.0,Closed -Won,Analytics,14.910662708571289,North America,,,0.0,3.6457800627539383
A00125,Scott Ltd,True,MarTech,10201.67,51.0,Closed -Won,Core,11.408560342459014,North America,,,1.0,2.513793412385233
A00126,Smith-Frost,True,HealthTech,6463.28,34.0,Closed -Won,Analytics,0.7041174350907791,Europe,,,6.0,19.98830241243651
A00127,"Mcdaniel, Bentley and Mclaughlin",True,E -Commerce,17352.06,5.0,Closed -Won,API,4.6404323097665205,North America,,,4.0,29.721557113386293
A00128,Diaz Inc,True,EdTech,25434.73,46.0,Closed -Won,Automation,11.117767660527345,North America,,,0.0,2.2678617846678435
A00129,"Mccall, Hanson and Alvarado",True,HealthTech,16866.27,34.0,Closed -Won,Automation,20.309418600171504,Europe,,,1.0,1.0130400938731898
A00130,Cortez LLC,True,CyberSecurity,10056.89,38.0,Closed -Won,Analytics,17.20043607880026,Europe,,,1.0,2.387198355703652
A00131,"Parker, Ortiz and Powell",True,HealthTech,3103.15,34.0,Closed -Won,Core,15.036609874987235,North America,,,2.0,0.8251298634259723
A00132,Spencer-Lee,True,CyberSecurity,43449.1,33.0,Negotiation,API,12.824530129257376,Asia,,,1.0,1.6407115549722406
A00133,"Bentley, Byrd and Orr",True,HealthTech,21056.02,6.0,Closed -Won,Premium Support,13.067631551083402,Asia,,,0.0,1.3571068513405944
A00134,"Carroll, Sullivan and Bass",True,MarTech,19990.99,33.0,Negotiation,Premium Support,4.024412028255664,LATAM,,,4.0,25.651342911549605
A00135,Mitchell-Jordan,True,Logistics,11372.03,47.0,Closed -Won,Premium Support,14.919732612993704,LATAM,,,1.0,1.653231373466593
A00136,"Lawson, Morris and Ramos",True,HealthTech,3238.99,18.0,Closed -Won,Core,4.751584571153561,Asia,,,0.0,1.1011335755370713
A00137,"Lewis, Kennedy and Santana",True,Logistics,9529.81,36.0,Closed -Won,Automation,21.262815546976512,Europe,,,0.0,1.7896101161092162
A00138,"Jackson, Miller and Robertson",True,CyberSecurity,39073.83,2.0,Closed -Won,Core,3.4095652205989966,Europe,,,3.0,16.581919962631208
A00139,"Harvey, Davis and Crane",True,SMB SaaS,5289.82,21.0,Closed -Won,Core,15.03010701720445,North America,,,2.0,3.7679319429815843
A00140,Chambers and Sons,True,HealthTech,2584.03,26.0,Closed -Won,API,17.26008444030439,LATAM,,,1.0,2.3047089971575088
A00141,Hernandez Inc,True,CyberSecurity,43064.73,58.0,Closed -Won,Core,15.39620848193476,North America,,,3.0,2.3341126329835378
A00142,Riggs PLC,True,SMB SaaS,7848.57,13.0,Closed -Won,Core,16.24072585315043,LATAM,,,3.0,2.495613835219245
A00143,Gibson Ltd,True,Logistics,13510.81,17.0,Closed -Won,Core,12.728829597905225,Asia,,,1.0,2.8718085122411257
A00144,"Lee, Horton and Snyder",True,HealthTech,20205.44,25.0,Closed -Lost,Core,0.14059242492557722,North America,,,2.0,29.834749577853124
A00145,Hernandez Ltd,True,Logistics,52138.84,59.0,Closed -Lost,Core,14.84069834441959,LATAM,,,2.0,2.281713024424119
A00146,Stafford Inc,True,FinTech,38469.44,51.0,Closed -Won,Analytics,18.29484395682377,Europe,,,1.0,2.7112469185631434
A00147,Robinson-Brock,False,E -Commerce,1311037.33,3.0,Closed -Won,Analytics,13.168953311444197,Europe,8.7,0.86,1.4210526315789473,5.478675291864662
A00148,"Holmes, Williams and Wright",True,MarTech,10012.57,14.0,Closed -Won,Analytics,11.81592801554067,LATAM,,,1.0,4.089051583278826
A00149,Bryant Group,True,E -Commerce,5939.01,49.0,Closed -Won,API,17.663057781139813,North America,,,1.0,3.5897298447133985
A00150,"Schmidt, Hansen and Stewart",False,E -Commerce,492727.95999999996,4.0,Closed -Won,Premium Support,12.116628979536364,Asia,,,1.0909090909090908,3.76067092470858
A00151,Salazar-Ball,True,FinTech,16942.13,51.0,Closed -Won,Automation,12.768320258496795,Europe,,,1.0,0.5869935495912335
A00152,"Simmons, Meadows and Griffin",True,E -Commerce,2995.27,17.0,Closed -Won,Core,12.880567181161274,Europe,,,0.0,3.2103504324929446
A00153,Manning Group,True,SMB SaaS,13450.62,55.0,Closed -Won,Automation,13.805057057028563,Asia,,,2.0,1.306123500935289
A00154,Green-Wright,True,MarTech,17259.51,18.0,Closed -Won,Premium Support,9.279085712293885,North America,,,1.0,2.5338410165749354
A00155,"Ramirez, Strickland and Washington",True,EdTech,22606.43,26.0,Closed -Won,Premium Support,12.38197966237512,Europe,,,0.0,0.7170943982145337
A00156,Hill Inc,True,SMB SaaS,6931.82,40.0,Closed -Won,Analytics,14.691104057419166,Asia,,,3.0,4.2264068989731225
A00157,"Mitchell, Nelson and Flores",True,FinTech,17623.81,8.0,Negotiation,Automation,14.669713808524488,Europe,,,2.0,0.5577832378913798
A00158,"Miller, Hernandez and Reyes",True,MarTech,5778.09,33.0,Closed -Won,Core,17.47397915773876,North America,,,0.0,2.0689860703165013
A00159,Mccarthy Inc,True,E -Commerce,20242.55,30.0,Closed -Won,Premium Support,19.518176666584413,Europe,,,1.0,0.0
A00160,Russell-Daniels,True,MarTech,13125.41,47.0,Closed -Won,Core,3.60758773529793,Asia,,,5.0,29.922995232278446
A00161,Brown-Wall,True,SMB SaaS,54726.93,59.0,Closed -Won,Analytics,16.743957152221803,Asia,,,1.0,1.5747147948617242
A00162,Stein-Silva,True,MarTech,8066.73,40.0,Closed -Won,Analytics,13.553796227698378,Asia,,,1.0,3.137183393905966
A00163,"Smith, Gilmore and Johnston",True,SMB SaaS,10794.78,25.0,Closed -Won,Automation,4.447328429483831,Europe,,,5.0,29.683158909475036
A00164,Smith-Bell,True,FinTech,3187.66,24.0,Closed -Won,API,14.053635297525206,Asia,,,2.0,3.1386235828463303
A00165,Castaneda-Ashley,True,CyberSecurity,15268.25,25.0,Negotiation,Core,15.756736309318693,Europe,,,1.0,0.9758794324113291
A00166,Medina-Navarro,True,E -Commerce,11908.8,49.0,Closed -Won,Core,16.465813394737005,Asia,,,0.0,1.7180383969552562
A00167,"Hurst, Freeman and Nelson",True,HealthTech,16405.08,19.0,Closed -Won,Automation,2.931529917832918,Asia,,,3.0,20.32715655532581
A00168,Johnson-Rogers,True,HealthTech,14665.17,10.0,On -Hold,Premium Support,13.636473585871842,North America,,,0.0,2.495588255632917
A00169,"Yates, Ramsey and Pittman",True,CyberSecurity,55378.18,20.0,Closed -Won,Core,16.360586719526786,Asia,,,2.0,2.3683744264070565
A00170,Hooper PLC,True,CyberSecurity,35366.83,2.0,Closed -Won,Automation,11.96131737135156,LATAM,,,2.5,19.270319628313285
A00171,Meadows PLC,True,E -Commerce,26623.99,7.0,Closed -Won,Analytics,16.640481152202625,LATAM,,,0.0,2.266830603289739
A00172,"Alvarado, Miller and Patterson",True,FinTech,16771.86,6.0,Closed -Won,Core,4.975787761896892,Asia,,,4.0,26.638974043241458
A00173,White-Green,True,E -Commerce,18696.47,46.0,Negotiation,Core,3.109916899344919,North America,,,4.0,18.529009977357966
A00174,Lewis-Murphy,True,SMB SaaS,16318.16,43.0,Closed -Won,API,11.427297711835678,LATAM,,,2.0,2.388798666881234
A00175,Ramirez-Bean,True,FinTech,16536.59,42.0,Closed -Won,Core,1.119255395128593,North America,,,4.0,28.306392107177796
A00176,King-Miller,True,MarTech,10013.95,28.0,Closed -Won,Automation,14.77122559602479,Europe,,,1.0,0.3200072326124028
A00177,Curry Inc,True,MarTech,26168.85,43.0,Negotiation,Core,15.5594112606669,North America,,,0.0,2.489007954968928
A00178,Walker-Jones,True,SMB SaaS,57627.45,10.0,Closed -Won,Analytics,9.756403046167911,North America,,,0.0,2.6767797779381173
A00179,"Williams, Johnson and Wright",True,EdTech,16743.96,54.0,Closed -Won,Core,12.488014674909348,Asia,,,2.0,3.461186377471683
A00180,Howell and Sons,True,MarTech,7261.09,30.0,Closed -Won,API,14.729856395916181,Europe,,,2.0,2.7260469332902093
A00181,Wells Inc,True,CyberSecurity,30309.68,56.0,Closed -Won,Core,11.300960269707193,Europe,,,0.0,2.1003159421587085
A00182,"Gould, Marshall and Scott",True,FinTech,42850.01,9.0,Negotiation,Core,15.301712459178814,Europe,,,1.0,2.4300731955100385
A00183,Jackson-Lawson,True,Logistics,10484.55,30.0,Negotiation,Analytics,13.077715127250302,LATAM,,,2.0,1.2649621654386598
A00184,"Higgins, Strickland and Martin",True,Logistics,5934.34,42.0,Negotiation,Analytics,11.82973918499223,LATAM,,,1.0,1.6120319276422541
A00185,Rodriguez-Johnson,True,CyberSecurity,24318.79,30.0,Closed -Lost,Analytics,2.879701298436887,LATAM,,,4.0,14.045366908999986
A00186,Johnston-Odonnell,True,CyberSecurity,17136.31,27.0,Closed -Won,Core,15.176840988737302,Asia,,,3.0,3.487029514344223
A00187,Sanders-Espinoza,True,CyberSecurity,22822.73,10.0,Closed -Won,Core,11.454413257190216,Europe,,,1.0,2.450157318950846
A00188,Vargas Ltd,True,Logistics,15835.53,23.0,Closed -Won,Core,13.272162860557858,Asia,,,1.0,1.0838875396753862
A00189,Garcia LLC,True,SMB SaaS,13459.42,15.0,Closed -Won,Core,15.403035131921325,Asia,,,3.0,2.2713569626625842
A00190,"Burke, Martinez and Riggs",True,MarTech,7686.96,18.0,Closed -Won,Core,11.713729450049698,LATAM,,,1.0,3.1593477099943326
A00191,Reed Group,True,MarTech,20829.69,41.0,On -Hold,Core,9.026729478728296,North America,,,1.0,2.992792325454384
A00192,"Wood, Hunter and Peterson",True,CyberSecurity,5160.92,38.0,Closed -Lost,Analytics,9.390278462930738,Europe,,,1.0,1.0723613868335988
A00193,Short-Garcia,True,HealthTech,26096.08,36.0,Closed -Won,Core,4.980322400210639,LATAM,,,3.0,30.86892909900717
A00194,Reid-Poole,True,Logistics,24948.53,22.0,Closed -Won,Analytics,10.044745171084585,Europe,,,1.0,2.39538608489638
A00195,"Hernandez, Thompson and Boyd",True,Logistics,20275.67,57.0,Negotiation,Automation,12.956834314471262,Europe,,,0.0,1.1131303681617668
A00196,"Nelson, Morton and Medina",True,CyberSecurity,35467.44,6.0,Negotiation,Automation,18.994828553518037,Europe,,,0.0,2.622327505980501
A00197,Marshall-Petersen,True,EdTech,12570.98,21.0,Closed -Won,Analytics,9.864204836933954,North America,,,3.0,2.950270388336241
A00198,"Adams, Christian and Rivas",True,EdTech,12238.83,7.0,Closed -Won,Core,13.152185445566898,North America,,,1.0,3.1136331111633826
A00199,Ramirez Group,True,MarTech,11553.36,20.0,Closed -Won,Analytics,20.396913662814153,Asia,,,4.0,3.7447404859785314
