account_id,month,actual_usd,closed_won_usd,churn,active_customer,csat_score,comment_sentiment_score,account_name,industry,contract_length_months,region,client_tenure_months,deal_value_usd,deal_status,feature_purchased,sessions_last_30d,last_login_days,support_tickets_30d,month_period
A00045,2023-01-31,0.0,11130.92,True,False,,,"Arroyo, Miller and Tucker",MarTech,22.0,Asia,5.0,15363.46,Negotiation,Core,2.3884460428598424,19.07840498011824,2.0,2023-01
A00047,2023-01-31,0.0,16689.27,True,False,,,Anderson Group,Logistics,10.0,Asia,27.0,11825.49,Closed -Won,Automation,19.623039109640427,1.2876575233030985,3.0,2023-01
A00049,2023-01-31,0.0,46426.58,True,False,,,Hickman Ltd,EdTech,33.0,LATAM,40.0,18651.81,Closed -Won,Core,14.84457081527878,2.4046733549242196,0.0,2023-01
A00051,2023-01-31,0.0,25792.24,True,False,,,"Brooks, Lam and Hayes",HealthTech,32.0,North America,45.0,19276.74,Closed -Won,Analytics,0.0,12.04273541413631,4.0,2023-01
A00052,2023-01-31,0.0,12846.3,True,False,,,Walker LLC,MarTech,24.0,LATAM,12.0,14068.34,Closed -Won,Core,19.2789475148426,1.9720529862011797,1.0,2023-01
A00053,2023-01-31,0.0,75439.12,True,False,,,Chapman and Sons,FinTech,16.0,Europe,22.0,12155.52,Negotiation,Core,9.41230766016592,0.8564985927089037,2.0,2023-01
A00054,2023-01-31,0.0,6420.2,True,False,,,"Robinson, Jones and Welch",FinTech,28.0,LATAM,28.0,10027.57,Negotiation,Analytics,4.460433523922467,33.95496678408523,4.0,2023-01
A00055,2023-01-31,0.0,31175.85,True,False,,,Jones Inc,CyberSecurity,24.0,North America,30.0,11450.46,Closed -Won,Premium Support,15.617066727935121,2.826902898872407,0.0,2023-01
A00056,2023-01-31,0.0,32719.66,True,False,,,Jones-Young,FinTech,29.0,Europe,3.0,8980.03,Closed -Won,Automation,15.582819544667773,1.9760526614506382,1.0,2023-01
A00058,2023-01-31,0.0,37520.61,True,False,,,"Johnston, Sanchez and Kennedy",Logistics,7.0,LATAM,10.0,21636.91,Closed -Won,Automation,8.359656392831152,17.814410453470515,4.0,2023-01
A00059,2023-01-31,0.0,5977.97,True,False,,,Lee-Davis,CyberSecurity,25.0,Asia,44.0,12820.98,Closed -Won,Core,13.299548966382012,1.842397007607881,1.0,2023-01
A00060,2023-01-31,0.0,20462.29,True,False,,,Gomez-Jenkins,MarTech,15.0,Asia,41.0,15513.65,Negotiation,Automation,16.019521016469074,1.0557420499491104,1.0,2023-01
A00062,2023-01-31,0.0,19774.55,True,False,,,Powell LLC,SMB SaaS,18.0,North America,44.0,13556.08,Closed -Won,API,12.103654121180913,0.8673462342346552,1.0,2023-01
A00064,2023-01-31,0.0,29596.11,True,False,,,"West, Henderson and Ramirez",E -Commerce,11.0,North America,58.0,20143.6,Closed -Won,API,2.8482299819885553,23.49102625234931,4.0,2023-01
A00065,2023-01-31,0.0,36353.4,True,False,,,Baxter Inc,FinTech,35.0,Europe,25.0,15745.69,Closed -Won,Analytics,14.650786056250958,1.2981801667911297,1.0,2023-01
A00066,2023-01-31,0.0,17769.41,True,False,,,Morton-Chase,FinTech,18.0,North America,20.0,19516.95,Closed -Won,API,11.356456371541647,1.7499124043554892,1.0,2023-01
A00067,2023-01-31,0.0,3057.46,True,False,,,Williams PLC,EdTech,10.0,Europe,54.0,24551.24,Closed -Lost,Analytics,12.609318080432967,2.8998913262140826,1.0,2023-01
A00068,2023-01-31,0.0,17007.47,True,False,,,Novak and Sons,HealthTech,8.0,North America,22.0,11520.4,Closed -Won,Core,12.632277739476027,3.105668788324186,0.0,2023-01
A00069,2023-01-31,0.0,9808.64,True,False,,,Russell Group,Logistics,31.0,LATAM,5.0,14377.61,Closed -Won,Analytics,11.472668135207886,2.9262058630906704,2.0,2023-01
A00070,2023-01-31,0.0,16314.24,True,False,,,Hancock Inc,HealthTech,9.0,North America,28.0,14331.91,Closed -Won,Core,14.940618744817007,2.3363540891284145,2.0,2023-01
A00071,2023-01-31,0.0,25427.24,True,False,,,Gray Group,EdTech,18.0,LATAM,47.0,13017.72,Closed -Lost,Core,15.254336288879234,1.742283438612344,3.0,2023-01
A00072,2023-01-31,0.0,5547.15,True,False,,,House-Glover,SMB SaaS,26.0,LATAM,12.0,13273.93,Closed -Won,Analytics,2.422062594166589,27.85262806916421,5.0,2023-01
A00075,2023-01-31,0.0,18028.73,True,False,,,Novak PLC,MarTech,9.0,Asia,41.0,24957.85,Closed -Won,Core,18.663708355793712,0.07663272352698702,1.0,2023-01
A00078,2023-01-31,0.0,41372.92,True,False,,,Yu Inc,SMB SaaS,7.0,Asia,14.0,22035.8,Closed -Won,Analytics,13.474688835813051,1.5489150961707394,1.0,2023-01
A00079,2023-01-31,0.0,8253.76,True,False,,,Jones Inc,Logistics,11.0,North America,34.0,14668.15,Closed -Won,Automation,17.39909245616493,3.535531148593968,2.0,2023-01
A00080,2023-01-31,0.0,23107.96,True,False,,,"Hensley, Powell and David",SMB SaaS,22.0,Asia,40.0,16788.88,Closed -Won,Analytics,1.2700810118331742,13.424291626130648,4.0,2023-01
A00083,2023-01-31,0.0,16021.46,True,False,,,Donovan-Harris,E -Commerce,9.0,North America,10.0,21654.85,Closed -Lost,Core,1.7442915743185687,28.857660360710288,8.0,2023-01
A00086,2023-01-31,0.0,57037.97,True,False,,,Smith PLC,HealthTech,29.0,North America,42.0,12961.37,Closed -Won,Core,5.1522245334360495,24.352115909930127,4.0,2023-01
A00087,2023-01-31,0.0,10773.83,True,False,,,"Ferrell, Jones and Lewis",SMB SaaS,7.0,Europe,6.0,15901.02,Negotiation,API,1.284474457743165,17.882710365580394,3.0,2023-01
A00088,2023-01-31,0.0,5078.74,True,False,,,Anderson-Bailey,FinTech,17.0,North America,19.0,16311.34,Closed -Won,API,12.393173254222715,1.9575831201994869,0.0,2023-01
A00089,2023-01-31,0.0,10076.47,True,False,,,Suarez LLC,HealthTech,14.0,North America,46.0,12454.37,Closed -Won,API,18.232110209565967,0.9499585585554677,1.0,2023-01
A00090,2023-01-31,0.0,10213.62,True,False,,,Moore-Bass,HealthTech,24.0,Asia,50.0,14547.38,Closed -Won,Core,18.434853768153474,1.6709252308034817,0.0,2023-01
A00091,2023-01-31,0.0,14526.44,True,False,,,"Turner, Riggs and Roman",HealthTech,30.0,Asia,26.0,10542.03,Closed -Won,Premium Support,11.235551684956832,2.260600303055161,2.0,2023-01
A00092,2023-01-31,0.0,11710.85,True,False,,,"Smith, Montoya and Evans",E -Commerce,12.0,Asia,48.0,19658.15,Closed -Won,Core,2.5722386044358383,31.293527683255817,4.0,2023-01
A00093,2023-01-31,0.0,18038.08,True,False,,,"Garcia, Humphrey and Baker",EdTech,29.0,North America,50.0,17779.99,Closed -Won,Core,16.346572111883987,0.736258731478763,1.0,2023-01
A00095,2023-01-31,0.0,11662.4,True,False,,,Campbell-Clark,EdTech,30.0,Europe,53.0,14231.14,Closed -Won,Premium Support,11.773096647098429,1.9474726312768276,3.0,2023-01
A00096,2023-01-31,0.0,11562.91,True,False,,,Harris-Walters,E -Commerce,8.0,Europe,18.0,12347.48,Closed -Won,Premium Support,18.297629830981485,1.506109200261892,1.0,2023-01
A00099,2023-01-31,0.0,7032.69,True,False,,,Williams-Cook,Logistics,14.0,Europe,38.0,11296.52,Negotiation,Core,13.640038490497139,0.5506001581913738,2.0,2023-01
A00100,2023-01-31,0.0,15769.36,True,False,,,Walsh LLC,HealthTech,11.0,Europe,9.0,18834.02,Closed -Won,Automation,14.00739428329912,1.4652492226083014,1.0,2023-01
A00102,2023-01-31,0.0,677.91,True,False,,,"Patterson, Smith and Jones",Logistics,32.0,Asia,12.0,9522.19,Closed -Won,Core,14.936520856554589,1.6896098963937516,0.0,2023-01
A00103,2023-01-31,0.0,25567.07,True,False,,,"Mckee, Gardner and Davenport",Logistics,9.0,Europe,48.0,17794.68,Negotiation,Core,16.873427766495745,2.111795918796453,1.0,2023-01
A00105,2023-01-31,0.0,14667.91,True,False,,,Nolan-Flynn,CyberSecurity,28.0,LATAM,48.0,18058.11,Closed -Won,Analytics,12.37446773186037,2.6817262268966697,1.0,2023-01
A00106,2023-01-31,0.0,17559.64,True,False,,,Nolan and Sons,Logistics,23.0,Europe,47.0,15336.27,Closed -Won,Premium Support,13.554583794779102,1.3664491644886092,1.0,2023-01
A00108,2023-01-31,0.0,10150.82,True,False,,,Dickson-Brady,SMB SaaS,16.0,Europe,40.0,16783.44,Closed -Won,Automation,14.651964882443146,3.271596365728607,1.0,2023-01
A00109,2023-01-31,0.0,4666.4,True,False,,,Hancock and Sons,HealthTech,17.0,North America,28.0,20394.47,Closed -Won,Core,1.9029804127648542,23.443716631909247,5.0,2023-01
A00110,2023-01-31,0.0,23008.67,True,False,,,Johnson-Doyle,EdTech,14.0,North America,42.0,7501.18,Closed -Won,API,4.432776481700106,35.24249657155846,1.0,2023-01
A00111,2023-01-31,0.0,21670.51,True,False,,,Patton-Jenkins,FinTech,34.0,North America,17.0,19551.82,Closed -Won,Automation,9.79191011411087,2.2777050564924215,0.0,2023-01
A00112,2023-01-31,0.0,2095.63,True,False,,,"Shields, Cochran and Adams",FinTech,12.0,Europe,47.0,11818.63,Closed -Won,Analytics,12.313036784033926,3.067994733268124,1.0,2023-01
A00113,2023-01-31,0.0,42551.66,True,False,,,"Rodriguez, Brennan and Garrison",MarTech,27.0,Europe,33.0,20694.58,Closed -Won,Core,14.49806315268991,3.7291765252393914,0.0,2023-01
A00114,2023-01-31,0.0,20686.42,True,False,,,Gonzalez Group,HealthTech,33.0,Asia,28.0,18466.27,Negotiation,API,2.4508208138664704,28.639263016077358,2.0,2023-01
A00115,2023-01-31,0.0,7734.72,True,False,,,Torres-Pope,MarTech,29.0,Asia,30.0,10514.69,Closed -Won,Core,17.893539324609655,3.0596706373498606,1.0,2023-01
A00116,2023-01-31,0.0,21912.65,True,False,,,Walker Ltd,MarTech,29.0,North America,34.0,12671.78,Closed -Won,Core,19.324056024762367,0.7903979276852757,1.0,2023-01
A00117,2023-01-31,0.0,19865.05,True,False,,,Ross LLC,E -Commerce,10.0,Asia,3.0,16921.53,Closed -Won,Core,3.9948389895130805,29.42078029621823,1.0,2023-01
A00118,2023-01-31,0.0,11304.28,True,False,,,Rasmussen LLC,SMB SaaS,9.0,LATAM,9.0,18787.56,Closed -Won,Core,16.28992752650748,1.6649873507436805,1.0,2023-01
A00119,2023-01-31,0.0,17418.71,True,False,,,May-Ross,Logistics,29.0,Europe,15.0,16904.41,Closed -Won,Analytics,9.636615396791091,2.3425698517042095,0.0,2023-01
A00120,2023-01-31,0.0,17522.81,True,False,,,"Rivera, Johnson and Wiley",MarTech,28.0,Europe,7.0,16560.26,Negotiation,Core,15.28964471948445,3.6111939354362215,0.0,2023-01
A00121,2023-01-31,0.0,16088.52,True,False,,,White-Estes,EdTech,28.0,Europe,26.0,12444.77,Closed -Won,Analytics,10.774207695617415,2.249889394279258,2.0,2023-01
A00122,2023-01-31,0.0,15080.32,True,False,,,Johnson-Carlson,Logistics,18.0,North America,40.0,15135.21,Negotiation,Automation,13.81238241273575,1.0623092607331233,1.0,2023-01
A00123,2023-01-31,0.0,20023.91,True,False,,,Chandler-Edwards,FinTech,21.0,Asia,39.0,14706.53,Closed -Won,Analytics,2.780161365180475,19.04402405663056,1.0,2023-01
A00124,2023-01-31,0.0,17920.58,True,False,,,"Joyce, Wilson and Lam",E -Commerce,6.0,North America,28.0,8995.33,Closed -Won,Analytics,14.910662708571289,3.6457800627539383,0.0,2023-01
A00126,2023-01-31,0.0,6463.28,True,False,,,Smith-Frost,HealthTech,21.0,Europe,34.0,13531.97,Closed -Won,Analytics,0.7041174350907791,19.98830241243651,6.0,2023-01
A00127,2023-01-31,0.0,17352.06,True,False,,,"Mcdaniel, Bentley and Mclaughlin",E -Commerce,9.0,North America,5.0,20503.67,Closed -Won,API,4.6404323097665205,29.721557113386293,4.0,2023-01
A00129,2023-01-31,0.0,16866.27,True,False,,,"Mccall, Hanson and Alvarado",HealthTech,7.0,Europe,34.0,15737.06,Closed -Won,Automation,20.309418600171504,1.0130400938731898,1.0,2023-01
A00130,2023-01-31,0.0,10056.89,True,False,,,Cortez LLC,CyberSecurity,12.0,Europe,38.0,19416.84,Closed -Won,Analytics,17.20043607880026,2.387198355703652,1.0,2023-01
A00132,2023-01-31,0.0,43449.1,True,False,,,Spencer-Lee,CyberSecurity,26.0,Asia,33.0,14910.5,Negotiation,API,12.824530129257376,1.6407115549722406,1.0,2023-01
A00133,2023-01-31,0.0,21056.02,True,False,,,"Bentley, Byrd and Orr",HealthTech,34.0,Asia,6.0,9337.01,Closed -Won,Premium Support,13.067631551083402,1.3571068513405944,0.0,2023-01
A00134,2023-01-31,0.0,19990.99,True,False,,,"Carroll, Sullivan and Bass",MarTech,13.0,LATAM,33.0,14361.79,Negotiation,Premium Support,4.024412028255664,25.651342911549605,4.0,2023-01
A00135,2023-01-31,0.0,11372.03,True,False,,,Mitchell-Jordan,Logistics,23.0,LATAM,47.0,13664.88,Closed -Won,Premium Support,14.919732612993704,1.653231373466593,1.0,2023-01
A00137,2023-01-31,0.0,9529.81,True,False,,,"Lewis, Kennedy and Santana",Logistics,16.0,Europe,36.0,14084.65,Closed -Won,Automation,21.262815546976512,1.7896101161092162,0.0,2023-01
A00138,2023-01-31,0.0,39073.83,True,False,,,"Jackson, Miller and Robertson",CyberSecurity,25.0,Europe,2.0,19413.58,Closed -Won,Core,3.4095652205989966,16.581919962631208,3.0,2023-01
A00139,2023-01-31,0.0,5289.82,True,False,,,"Harvey, Davis and Crane",SMB SaaS,26.0,North America,21.0,19855.84,Closed -Won,Core,15.03010701720445,3.7679319429815843,2.0,2023-01
A00140,2023-01-31,0.0,2584.03,True,False,,,Chambers and Sons,HealthTech,30.0,LATAM,26.0,13047.46,Closed -Won,API,17.26008444030439,2.3047089971575088,1.0,2023-01
A00141,2023-01-31,0.0,43064.73,True,False,,,Hernandez Inc,CyberSecurity,35.0,North America,58.0,9701.92,Closed -Won,Core,15.39620848193476,2.3341126329835378,3.0,2023-01
A00142,2023-01-31,0.0,7848.57,True,False,,,Riggs PLC,SMB SaaS,24.0,LATAM,13.0,11117.17,Closed -Won,Core,16.24072585315043,2.495613835219245,3.0,2023-01
A00145,2023-01-31,0.0,52138.84,True,False,,,Hernandez Ltd,Logistics,26.0,LATAM,59.0,10441.63,Closed -Lost,Core,14.84069834441959,2.281713024424119,2.0,2023-01
A00146,2023-01-31,0.0,38469.44,True,False,,,Stafford Inc,FinTech,16.0,Europe,51.0,9132.69,Closed -Won,Analytics,18.29484395682377,2.7112469185631434,1.0,2023-01
A00147,2023-01-31,14779.71,14779.71,False,True,,,Robinson-Brock,E -Commerce,24.0,Europe,3.0,12634.99,Closed -Won,Core,12.056592324850648,0.0,0.0,2023-01
A00148,2023-01-31,0.0,10012.57,True,False,,,"Holmes, Williams and Wright",MarTech,22.0,LATAM,14.0,22183.25,Closed -Won,Analytics,11.81592801554067,4.089051583278826,1.0,2023-01
A00149,2023-01-31,0.0,5939.01,True,False,,,Bryant Group,E -Commerce,12.0,North America,49.0,16676.87,Closed -Won,API,17.663057781139813,3.5897298447133985,1.0,2023-01
A00150,2023-01-31,21278.03,21278.03,False,True,,,"Schmidt, Hansen and Stewart",E -Commerce,21.0,Asia,4.0,14054.51,Closed -Won,Core,12.628264384576726,2.2171357518592902,1.0,2023-01
A00151,2023-01-31,0.0,16942.13,True,False,,,Salazar-Ball,FinTech,24.0,Europe,51.0,14497.31,Closed -Won,Automation,12.768320258496795,0.5869935495912335,1.0,2023-01
A00152,2023-01-31,0.0,2995.27,True,False,,,"Simmons, Meadows and Griffin",E -Commerce,33.0,Europe,17.0,7474.7,Closed -Won,Core,12.880567181161274,3.2103504324929446,0.0,2023-01
A00154,2023-01-31,0.0,17259.51,True,False,,,Green-Wright,MarTech,10.0,North America,18.0,19960.69,Closed -Won,Premium Support,9.279085712293885,2.5338410165749354,1.0,2023-01
A00155,2023-01-31,0.0,22606.43,True,False,,,"Ramirez, Strickland and Washington",EdTech,35.0,Europe,26.0,13422.54,Closed -Won,Premium Support,12.38197966237512,0.7170943982145337,0.0,2023-01
A00156,2023-01-31,0.0,6931.82,True,False,,,Hill Inc,SMB SaaS,23.0,Asia,40.0,14023.5,Closed -Won,Analytics,14.691104057419166,4.2264068989731225,3.0,2023-01
A00158,2023-01-31,0.0,5778.09,True,False,,,"Miller, Hernandez and Reyes",MarTech,28.0,North America,33.0,10503.7,Closed -Won,Core,17.47397915773876,2.0689860703165013,0.0,2023-01
A00159,2023-01-31,0.0,20242.55,True,False,,,Mccarthy Inc,E -Commerce,17.0,Europe,30.0,16331.78,Closed -Won,Premium Support,19.518176666584413,0.0,1.0,2023-01
A00160,2023-01-31,0.0,13125.41,True,False,,,Russell-Daniels,MarTech,17.0,Asia,47.0,11688.88,Closed -Won,Core,3.60758773529793,29.922995232278446,5.0,2023-01
A00161,2023-01-31,0.0,54726.93,True,False,,,Brown-Wall,SMB SaaS,31.0,Asia,59.0,13002.83,Closed -Won,Analytics,16.743957152221803,1.5747147948617242,1.0,2023-01
A00162,2023-01-31,0.0,8066.73,True,False,,,Stein-Silva,MarTech,32.0,Asia,40.0,13487.04,Closed -Won,Analytics,13.553796227698378,3.137183393905966,1.0,2023-01
A00163,2023-01-31,0.0,10794.78,True,False,,,"Smith, Gilmore and Johnston",SMB SaaS,21.0,Europe,25.0,13489.79,Closed -Won,Automation,4.447328429483831,29.683158909475036,5.0,2023-01
A00164,2023-01-31,0.0,3187.66,True,False,,,Smith-Bell,FinTech,17.0,Asia,24.0,15408.56,Closed -Won,API,14.053635297525206,3.1386235828463303,2.0,2023-01
A00167,2023-01-31,0.0,16405.08,True,False,,,"Hurst, Freeman and Nelson",HealthTech,28.0,Asia,19.0,15487.57,Closed -Won,Automation,2.931529917832918,20.32715655532581,3.0,2023-01
A00169,2023-01-31,0.0,55378.18,True,False,,,"Yates, Ramsey and Pittman",CyberSecurity,31.0,Asia,20.0,6369.07,Closed -Won,Core,16.360586719526786,2.3683744264070565,2.0,2023-01
A00170,2023-01-31,21577.27,21577.27,False,True,,,Hooper PLC,CyberSecurity,18.0,LATAM,2.0,14965.5,Closed -Won,API,17.782617515250507,2.7222251549233616,2.0,2023-01
A00171,2023-01-31,0.0,26623.99,True,False,,,Meadows PLC,E -Commerce,30.0,LATAM,7.0,12249.81,Closed -Won,Analytics,16.640481152202625,2.266830603289739,0.0,2023-01
A00172,2023-01-31,0.0,16771.86,True,False,,,"Alvarado, Miller and Patterson",FinTech,6.0,Asia,6.0,16818.53,Closed -Won,Core,4.975787761896892,26.638974043241458,4.0,2023-01
A00173,2023-01-31,0.0,18696.47,True,False,,,White-Green,E -Commerce,28.0,North America,46.0,12792.21,Negotiation,Core,3.109916899344919,18.529009977357966,4.0,2023-01
A00176,2023-01-31,0.0,10013.95,True,False,,,King-Miller,MarTech,11.0,Europe,28.0,19206.19,Closed -Won,Automation,14.77122559602479,0.3200072326124028,1.0,2023-01
A00177,2023-01-31,0.0,26168.85,True,False,,,Curry Inc,MarTech,34.0,North America,43.0,16251.37,Negotiation,Core,15.5594112606669,2.489007954968928,0.0,2023-01
A00179,2023-01-31,0.0,16743.96,True,False,,,"Williams, Johnson and Wright",EdTech,9.0,Asia,54.0,12498.36,Closed -Won,Core,12.488014674909348,3.461186377471683,2.0,2023-01
A00180,2023-01-31,0.0,7261.09,True,False,,,Howell and Sons,MarTech,32.0,Europe,30.0,13013.24,Closed -Won,API,14.729856395916181,2.7260469332902093,2.0,2023-01
A00182,2023-01-31,0.0,42850.01,True,False,,,"Gould, Marshall and Scott",FinTech,22.0,Europe,9.0,12652.03,Negotiation,Core,15.301712459178814,2.4300731955100385,1.0,2023-01
A00183,2023-01-31,0.0,10484.55,True,False,,,Jackson-Lawson,Logistics,8.0,LATAM,30.0,7975.25,Negotiation,Analytics,13.077715127250302,1.2649621654386598,2.0,2023-01
A00184,2023-01-31,0.0,5934.34,True,False,,,"Higgins, Strickland and Martin",Logistics,9.0,LATAM,42.0,14449.98,Negotiation,Analytics,11.82973918499223,1.6120319276422541,1.0,2023-01
A00185,2023-01-31,0.0,24318.79,True,False,,,Rodriguez-Johnson,CyberSecurity,13.0,LATAM,30.0,20729.32,Closed -Lost,Analytics,2.879701298436887,14.045366908999986,4.0,2023-01
A00186,2023-01-31,0.0,17136.31,True,False,,,Johnston-Odonnell,CyberSecurity,22.0,Asia,27.0,12386.11,Closed -Won,Core,15.176840988737302,3.487029514344223,3.0,2023-01
A00187,2023-01-31,0.0,22822.73,True,False,,,Sanders-Espinoza,CyberSecurity,22.0,Europe,10.0,10025.63,Closed -Won,Core,11.454413257190216,2.450157318950846,1.0,2023-01
A00188,2023-01-31,0.0,15835.53,True,False,,,Vargas Ltd,Logistics,31.0,Asia,23.0,20698.41,Closed -Won,Core,13.272162860557858,1.0838875396753862,1.0,2023-01
